company,start_page,end_page,base_url
Accenture,1,5,https://www.accenture.com/in-en/careers/jobsearch?jk=&sb=1&vw=0&is_rj=0&pg=1
Capgemini,1,3,https://www.capgemini.com/careers/join-capgemini/job-search/?country_code=en-in&size=30
Cognizant,18,, https://careers.cognizant.com/india-en/jobs/?page=1&location=India&radius=100&cname=India&ccode=IN&pagesize=10#results
Deloitte,4,,https://jobsindia.deloitte.com/search/?q=&locationsearch=India&sortColumn=referencedate&sortDirection=desc#hdrDateButton
IBM,1,5,https://www.ibm.com/in-en/careers/search?q=india&sort=dcdate_desc
Marriott,,3,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=India&sort_by=external_posting_date
Exl,5,,https://exlcareers.peoplestrong.com/job/joblist
SchneiderElectric,1,5,https://careers.se.com/global/jobs?keywords=INDIA&page=1
syngene,1,,https://careers.syngeneintl.com/search/?q=&locationsearch=INDIA&sortColumn=referencedate&sortDirection=desc#hdrDateButton
SBI,1,3,https://edox.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/requisitions?sortBy=POSTING_DATES_DESC
