S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,Amazon,2816091,Program Management,Bengaluru,"Investigation Specialist Sr, SCOT - FBA Warehouse Dist",Amazon has spent years building one of the world’s most efficient and optimized supply chains. Amazon Warehousing and Distribution (AWD) is building on that foundation with a bulk storage and distribution,10/30/2024,1
2,Amazon,2790277,Program Management,Chennai,"Quality Assurance Lead, Print Quality Assurance","The Quality Assurance (QA) program is in place to ensure final book files will print per our technical requirements. The Quality Assurance Lead (QAL) is responsible for improving the quality, timeliness,",10/30/2024,1
3,Amazon,2784021,Program Management,Bangalore,"Risk Manager, SPTC Account Compliance Insights",The WW Selling partner trust and compliance (SPTC) vision is to enable every brand ranging from the small business to the large multi-national corporation – to be able to thrive and grow into a global,10/30/2024,1
4,Amazon,2817800,Program Management,Hyderabad,"Head, Leads Management - EU, Internalational Seller Growth","Through the Amazon Marketplace, Amazon provides individuals or enterprises the opportunity to sell their goods on the Amazon platform. Worldwide, more than a million sellers use this Marketplace and thereby",10/30/2024,1
5,Amazon,2817782,Program Management,Bangalore,"Risk Manager, SPTC Account Compliance Insights",The WW Selling partner trust and compliance (SPTC) vision is to enable every brand ranging from the small business to the large multi-national corporation – to be able to thrive and grow into a global,10/30/2024,1
6,Amazon,2817721,Program Management,Chennai,"Sr. Program Manager, FireTV","Join the team changing the future of entertainment. Amazon Fire TV has more than 40 million active users, and customers globally have access to tens of thousands of channels, apps, Alexa skills and more.",10/30/2024,1
7,Amazon,2775251,Program Management,Hyderabad,"AIT Audit Manager - I, PQ",The Audits & Insights Team (AIT) strives to ensure that Amazon's Seller and Buyer policies are effectively implemented by the investigation and automation mechanisms within the Selling Partner Services,10/29/2024,1
8,Amazon,2751829,Program Management,Hyderabad,"Senior Program Manager, DP Experience, Amazon Flex","At Amazon, we're working to be the most Customer-centric company on earth. One customer experience that we’re constantly looking to take to a new level is how to coordinate the delivery of their orders.",10/29/2024,1
9,Amazon,2787763,Program Management,Bangalore,"Program Manager, RBS Brand Experience","Amazon.com, Inc. (NASDAQ:AMZN), a Fortune 500 company based in Seattle, opened on the World Wide Web in July 1995 and today offers Earth's Biggest Selection. Amazon.com, Inc. seeks to be Earth's most customer-centric",10/29/2024,1
10,Amazon,2816718,Program Management,Bangalore,"Sr. Manager, External Channels Ops, External Channels Program and Operations","Amazon is looking for a motivated individual for the profile of Sr. Manager, Operations for its External Channels team. You will be accountable for managing a team owning seller operations centrally pan-India.",10/29/2024,1
