S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,Cognizant,00061079462,Technology & Engineering,,Sr. Associate - Projects,"Job opening for API Automation Testing
Experience-6-9 Years
Level- SA
Location-PAN India (Pref Chennai & Pune)
Detailed JD as below:
· 6 to 9 years of hands-on experience in Selenium Java automation
· Expertise in BDD Cucumber framework development and implementation
· Working knowledge of Rest Assured API tool Experience
· Working Knowledge of Git and Maven
· Basic knowledge of Jira
· Design and execute end to end automation test cases based on requirements
· Experience in preparing the automation test strategy and test planning
· Good Communication and interpersonal skills
· Experience in working with onsite teams and client stakeholders independently
· Additional Good to have Skills - Experience in agile scrum methodology, Preparing the daily weekly and month status reporting, Experience in preparing the story point estimation based on the complexity of the user story
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
2,Cognizant,00061300421,Technology & Engineering,,Senior Associate,"Job Summary

Job Summary

We are seeking a highly skilled Technical Lead with 7 to 10 years of experience to join our dynamic team. The ideal candidate will have strong expertise in data visualization ANSI SQL and Tableau. This role involves leading technical projects designing data solutions and ensuring the delivery of high-quality visual analytics. The position is hybrid with no travel required and operates during day shifts.
Responsibilities

Responsibilities

• Lead the design and implementation of data visualization solutions using Tableau.
• Oversee the development and maintenance of Tableau dashboards and reports.
• Provide technical expertise in ANSI SQL to optimize data queries and performance.
• Collaborate with cross-functional teams to gather and analyze business requirements.
• Ensure the accuracy and reliability of data presented in visualizations.
• Develop and enforce best practices for data visualization and reporting.
• Mentor and guide junior team members in technical skills and project execution.
• Conduct regular reviews of data models and visualizations to ensure alignment with business goals.
• Troubleshoot and resolve technical issues related to data visualization tools.
• Stay updated with the latest trends and advancements in data visualization and analytics.
• Coordinate with stakeholders to deliver high-quality data solutions on time.
• Implement data security and privacy measures in all data visualization projects.
• Drive continuous improvement in data visualization processes and methodologies.
Qualifications

Qualifications

• Possess strong experience in data visualization using Tableau.
• Demonstrate proficiency in ANSI SQL for data querying and optimization.
• Exhibit excellent experience design skills for creating intuitive and impactful visualizations.
• Have a solid understanding of data modeling and database management.
• Show ability to collaborate effectively with cross-functional teams.
• Display strong problem-solving skills and attention to detail.
Certifications Required

Certifications Required

Tableau Desktop Specialist good to have
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
3,Cognizant,00060892331,Business Processes,,Associate - Projects,"Job Summary

Job Summary

We are seeking a skilled Developer with 4 to 8 years of experience to join our dynamic team. The ideal candidate will have expertise in Einstein Discovery SFDC TCRM SFDC Data and SFDC Configuration. This role involves developing and implementing solutions that drive business success and enhance customer experiences.
Responsibilities

Responsibilities

• Develop and implement solutions using Einstein Discovery to drive business insights and decision-making.
• Oversee the configuration and customization of SFDC TCRM to meet business requirements.
• Provide expertise in SFDC Data management ensuring data integrity and accuracy.
• Collaborate with cross-functional teams to gather and analyze business requirements.
• Design and develop custom applications on the Salesforce platform.
• Ensure the seamless integration of SFDC applications with other enterprise systems.
• Conduct thorough testing and debugging of applications to ensure high-quality deliverables.
• Maintain up-to-date documentation of all development processes and configurations.
• Provide technical support and troubleshooting for SFDC-related issues.
• Stay current with the latest Salesforce technologies and best practices.
• Train and mentor junior developers on SFDC tools and techniques.
• Contribute to the continuous improvement of development processes and methodologies.
• Work closely with stakeholders to ensure solutions align with business goals.
Qualifications

Qualifications

• Possess strong expertise in Einstein Discovery for developing data-driven insights.
• Demonstrate proficiency in SFDC TCRM configuration and customization.
• Have extensive experience in managing and manipulating SFDC Data.
• Show capability in designing and implementing SFDC Configuration.
• Exhibit strong problem-solving skills and attention to detail.
• Have excellent communication and collaboration abilities.
• Be able to work independently and as part of a team.
• Display a commitment to continuous learning and professional development.
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
4,Cognizant,00061054542,Technology & Engineering,,Architect - Technology,"Job Summary

Job Summary

The Data Engineering Architect will be responsible for designing implementing and optimizing scalable data solutions for the Finance for Future Program for Finance Data Repository -FDR. The position will involve working closely with the IT Delivery Lead and Data Solution Architect on a day-to-day basis. You will also require to engage with business stakeholders to understand business requirements and translate them into robust data architectures.
Responsibilities

Responsibilities

• Design develop and deliver the building of data pipelines across various integration points for the global Financial Data Repository- FDR
• Develop confirm pipeline tools for ingestion transformation and distribution based on fact finding and assessment of existing solutions within Prudential frameworks
• Implement data models ensuring scalability performance and reliability
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
5,Cognizant,00061166641,Technology & Engineering,,Infra. Technology Specialist,"Job Summary

Job Summary

We are seeking an experienced Infra. Technology Specialist with 5 to 8 years of experience in UiPath for a hybrid work model. The ideal candidate will be responsible for managing and optimizing our infrastructure to ensure seamless operations. This role requires a deep understanding of UiPath and the ability to work effectively in a day shift. No travel is required.
Responsibilities

Responsibilities

• Oversee the implementation and maintenance of infrastructure solutions to support business operations.
• Provide technical expertise in UiPath to automate and streamline processes.
• Monitor system performance and troubleshoot issues to ensure optimal functionality.
• Collaborate with cross-functional teams to integrate infrastructure solutions with existing systems.
• Develop and maintain documentation for infrastructure processes and configurations.
• Ensure compliance with security policies and procedures to protect company data.
• Conduct regular system audits to identify and address potential vulnerabilities.
• Implement best practices for infrastructure management to enhance efficiency and reliability.
• Support the deployment of new applications and updates to existing systems.
• Provide training and support to team members on infrastructure-related topics.
• Participate in the planning and execution of infrastructure projects to meet business goals.
• Evaluate and recommend new technologies to improve infrastructure performance.
• Maintain up-to-date knowledge of industry trends and advancements in infrastructure technology.
Qualifications

Qualifications

• Possess a strong background in UiPath with a minimum of 5 years of experience.
• Demonstrate proficiency in infrastructure management and optimization.
• Exhibit excellent problem-solving skills and attention to detail.
• Show ability to work effectively in a hybrid work model.
• Have strong communication and collaboration skills.
• Display a commitment to continuous learning and professional development.
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
6,Cognizant,000608188715,Technology & Engineering,,Sr. Associate - Projects,"Job Summary

Job Summary

We are seeking a highly skilled Sr. Developer with 6 to 8 years of experience to join our dynamic team. The ideal candidate will have extensive experience in Workday Revenue Management Workday HCM and Workday Integrations. A background in Finance & Accounting is a plus. This role offers the opportunity to contribute to impactful projects that drive our companys success and societal impact.
Responsibilities

Responsibilities

• Develop and maintain Workday Revenue Management solutions to support business processes.
• Implement and optimize Workday HCM modules to enhance human capital management.
• Design and execute Workday Integrations to ensure seamless data flow between systems.
• Collaborate with cross-functional teams to gather and analyze business requirements.
• Provide technical expertise in Workday configurations and customizations.
• Troubleshoot and resolve issues related to Workday applications.
• Conduct regular system audits to ensure data integrity and compliance.
• Create and maintain technical documentation for all Workday-related projects.
• Lead testing efforts to validate system functionality and performance.
• Train and support end-users to maximize the effectiveness of Workday solutions.
• Stay updated with the latest Workday features and best practices.
• Participate in project planning and provide accurate time estimates for development tasks.
• Contribute to the continuous improvement of development processes and methodologies.
Qualifications

Qualifications

• Possess a strong background in Workday Revenue Management with proven implementation experience.
• Demonstrate expertise in Workday HCM including configuration and customization.
• Have hands-on experience with Workday Integrations including EIB Studio and Cloud Connect.
• Show proficiency in gathering and analyzing business requirements.
• Exhibit strong problem-solving skills and the ability to troubleshoot complex issues.
• Display excellent communication skills to collaborate effectively with cross-functional teams.
• Have a good understanding of Finance & Accounting principles.
• Be detail-oriented with a focus on data integrity and compliance.
• Demonstrate the ability to create and maintain comprehensive technical documentation.
• Show experience in leading testing efforts and validating system performance.
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
7,Cognizant,000608188714,Technology & Engineering,,Sr. Associate - Projects,"Job Summary

Job Summary

We are seeking a highly skilled Sr. Developer with 6 to 8 years of experience to join our dynamic team. The ideal candidate will have extensive experience in Workday Revenue Management Workday HCM and Workday Integrations. A background in Finance & Accounting is a plus. This role offers the opportunity to contribute to impactful projects that drive our companys success and societal impact.
Responsibilities

Responsibilities

• Develop and maintain Workday Revenue Management solutions to support business processes.
• Implement and optimize Workday HCM modules to enhance human capital management.
• Design and execute Workday Integrations to ensure seamless data flow between systems.
• Collaborate with cross-functional teams to gather and analyze business requirements.
• Provide technical expertise in Workday configurations and customizations.
• Troubleshoot and resolve issues related to Workday applications.
• Conduct regular system audits to ensure data integrity and compliance.
• Create and maintain technical documentation for all Workday-related projects.
• Lead testing efforts to validate system functionality and performance.
• Train and support end-users to maximize the effectiveness of Workday solutions.
• Stay updated with the latest Workday features and best practices.
• Participate in project planning and provide accurate time estimates for development tasks.
• Contribute to the continuous improvement of development processes and methodologies.
Qualifications

Qualifications

• Possess a strong background in Workday Revenue Management with proven implementation experience.
• Demonstrate expertise in Workday HCM including configuration and customization.
• Have hands-on experience with Workday Integrations including EIB Studio and Cloud Connect.
• Show proficiency in gathering and analyzing business requirements.
• Exhibit strong problem-solving skills and the ability to troubleshoot complex issues.
• Display excellent communication skills to collaborate effectively with cross-functional teams.
• Have a good understanding of Finance & Accounting principles.
• Be detail-oriented with a focus on data integrity and compliance.
• Demonstrate the ability to create and maintain comprehensive technical documentation.
• Show experience in leading testing efforts and validating system performance.
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
8,Cognizant,00061154861,Technology & Engineering,,Process Specialist - Data,"Job Summary

Job Summary

We are seeking a dedicated Process Specialist for our B&L team with 4 to 6 years of experience. The ideal candidate will have strong technical skills in MS Excel and preferably domain experience in Pre-Underwriting and Underwriting. This role requires working from the office during night shifts. The candidate will play a crucial role in ensuring the efficiency and accuracy of our processes.
Responsibilities

Responsibilities

• Oversee daily operations and ensure all processes are executed efficiently and accurately.
• Provide expertise in MS Excel to analyze and interpret data effectively.
• Collaborate with team members to streamline workflows and improve process efficiency.
• Ensure compliance with company policies and industry regulations in all tasks.
• Conduct regular audits to identify areas for improvement and implement corrective actions.
• Develop and maintain detailed documentation of processes and procedures.
• Assist in training new team members on best practices and standard operating procedures.
• Utilize domain knowledge in Pre-Underwriting and Underwriting to enhance process quality.
• Monitor performance metrics and generate reports to track progress and identify trends.
• Communicate effectively with stakeholders to provide updates and address any issues.
• Participate in continuous improvement initiatives to drive operational excellence.
• Support the team in troubleshooting and resolving any process-related issues.
• Ensure timely completion of all tasks to meet project deadlines and client expectations.
Qualifications

Qualifications

• Possess strong technical skills in MS Excel including advanced functions and data analysis.
• Have domain experience in Pre-Underwriting and Underwriting which is highly desirable.
• Demonstrate excellent problem-solving skills and attention to detail.
• Exhibit strong communication and interpersonal skills.
• Show ability to work effectively in a team-oriented environment.
• Display a proactive approach to identifying and addressing process inefficiencies.
• Have a minimum of 4 years and a maximum of 6 years of relevant experience.
Certifications Required

Certifications Required

Certified MS Excel Specialist Certification in Underwriting (preferred)
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
9,Cognizant,00061214084,Technology & Engineering,,Senior Developer,"Job description:

Job description:

• 8 to 10 years experienced Technical Lead having experience in managing Salesforce Projects (Small to Medium) well versed with Project management methodologies.
• He or She should be Salesforce certified and should be having experience in implementation of at least 2 to 3 Field Service Lightning Projects.
Should be having fair knowledge and understanding on Field Service Lightning (FSL) Data Model, Scheduler, Optimizer, Dispatcher, Service Resource, Work Order, Customer, Product, Mobile App for Service Work Force etc.
• Service Cloud and Field Service Lightning(FSL) Certifications are preferred.
• This Requirement is for Salesforce Field Service Lightning Project implementation.

• Would be responsible to interact with clients ,provide guidance to team members and guide projects through the course of coding , quality control, deployment, maintenance and support .
• Understand requirements & provide inputs in designing end to end solution from a technical perspective. Review and approve system architecture design & then allocate modules to developers for coding .
• Provide guidance to developers and set standards, review codes written by developers and provide a go ahead for code development , prepare for incremental code creation and unit testing . Oversee development process & Review final codes written by developers on adherence to standards/functionality.

The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
10,Cognizant,00060446647,Technology & Engineering,,Process Executive - Data,"Job Summary

Job Summary

We are seeking a dedicated Process Executive for our B&L team with 0 to 2 years of experience. The ideal candidate will have a strong background in MS Excel and domain expertise in Customer Service (Mortgage) and Collection-Loss Mitigation (Mortgage Loans). This role involves managing and optimizing processes to enhance customer satisfaction and operational efficiency.
Responsibilities

Responsibilities

• Manage daily operations related to customer service in the mortgage domain
• Utilize MS Excel to analyze data and generate reports for process improvement
• Handle customer inquiries and resolve issues promptly to ensure high levels of customer satisfaction
• Collaborate with team members to streamline processes and improve service delivery
• Monitor and track collection activities to minimize loss and ensure compliance with company policies
• Provide accurate and timely information to customers regarding their mortgage accounts
• Assist in the development and implementation of strategies to enhance customer experience
• Conduct regular audits to ensure adherence to established procedures and identify areas for improvement
• Prepare and maintain detailed documentation of customer interactions and process changes
• Support the team in achieving performance targets and meeting service level agreements
• Participate in training sessions to stay updated on industry trends and best practices
• Contribute to the continuous improvement of processes by providing feedback and suggestions
• Ensure all activities are conducted in accordance with regulatory requirements and company standards
Qualifications

Qualifications

• Possess strong technical skills in MS Excel including data analysis and report generation
• Demonstrate domain expertise in Customer Service (Mortgage) and Collection-Loss Mitigation (Mortgage Loans)
• Exhibit excellent communication and interpersonal skills to effectively interact with customers and team members
• Show ability to work independently and as part of a team to achieve common goals
• Display strong problem-solving skills and attention to detail to ensure accuracy and efficiency
• Have a proactive approach to learning and adapting to new processes and technologies
Certifications Required

Certifications Required

Certified Mortgage Servicer (CMS) Microsoft Office Specialist (MOS) in Excel
The Cognizant community:
We are a high caliber team who appreciate and support one another. Our people uphold an energetic, collaborative and inclusive workplace where everyone can thrive.

The Cognizant community:

Cognizant is a global community with more than 350,000 associates around the world.
We don’t just dream of a better way – we make it happen.
We take care of our people, clients, company, communities and climate by doing what’s right.
We foster an innovative environment where you can build the career path that’s right for you.
• Cognizant is a global community with more than 350,000 associates around the world.
• We don’t just dream of a better way – we make it happen.
• We take care of our people, clients, company, communities and climate by doing what’s right.
• We foster an innovative environment where you can build the career path that’s right for you.
About us:
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, helping organizations modernize technology, reimagine processes and transform experiences so they stay ahead in a fast-changing world.

About us:

Our commitment to diversity and inclusion:
Cognizant is an equal opportunity employer that embraces diversity, champions equity and values inclusion. We are dedicated to nurturing a community where everyone feels heard, accepted and welcome. Your application and candidacy will not be considered based on race, color, sex, religion, creed, sexual orientation, gender identity, national origin, disability, genetic information, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.

Our commitment to diversity and inclusion:

If you have a disability that requires reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.
Disclaimer:
Compensation information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.",,1
