S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,Deloitte,72183,,Mumbai,Enabling Areas - .Net Lead - Information Technology - Deputy Manager,"Key Responsibilities:

Should have 7 - 10 years of relevant experience in developing, leading and managing application on .Net Core, SQL, React JS or Angular JS
C# & Asp.Net MVC expertise, with experience building modern application in .Net framework and/or .Net Core
Hands-on expertise in some of the following technologies: Asp .NET MVC, .NET Core, C#, Web API, Entity Framework and database technology like SQL Server
Should have good knowledge on Visual Studio, GitHub, Azure Repo
Should have experience on using Design Patterns and Practices, MVC & Rest architectural principle & patterns,
Should have knowledge of Identity and access management using Azure Active Directory any similar IAM platform
Understanding of Object-Oriented Design concepts, WinForms, Multithreading, Security/top 10 OWASP principles
Hands on experience in secure coding best practices ensuring development of secure applications

Team Lead

Ability to work well with clients both individually as well as in a highly collaborative team
Ability to listen to his team members and communicate instructions effectively.
Ability to lead, direct and control team members.
Ability to handle multiple jobs at the same time.
Excellent presentation skills.
Excellent communication and interpersonal skills
Ability to always pay attention to details and encourage team members to do same.
Ability to take proactive steps in managing problems.
Have in-depth knowledge of management goals and visions and work in line with team members to achieve them.

 

Additional Good to have

Experience with Front end Frameworks /Technologies such as Angular, React.js, Vue.js
Experience with API gateways and containerized applications using Docker, Kubernetes or other similar tools
Experience on Agile Projects. Very good knowledge about Agile Scrum
Experience on Micro services architectural principle & patterns
Cloud Technologies such as Azure, AWS & GCP.

 

 act as a brand ambassador to help attract top talent
Understand expectations and demonstrate personal accountability for keeping performance on track
Actively focus on developing effective communication and relationship-building skills
Understand how their daily work contributes to the priorities of the team and the business
Support the team whenever required

 

 Explore Deloitte University, The Leadership Center.","Oct 30, 2024",1
3,Deloitte,72180,,Delhi,Enabling Areas - SAP SF RCM/PMGM/ONB - Information Technology 1,"Senior Consultant / Manager SAP Success Factors 

DEPARTMENT:                          Information Technology Support – India

JOB TITLE:                               Deputy Manager / Manager – SAP SF

 



 Work you’ll do

 Responsible for implementing SAP SF submodules RCM (Recruiting Management), ONB (On-boarding) and providing Support on an ongoing basis to all Deloitte India and its cluster countries (Mauritius, Sri Lanka and Bangladesh). Also, should have sound knowledge of Workflow, Business Rules, Foundation Objects and Succession Data Model.

 

Job Relationships:

Position reports to:   Manager/Associate Director

 

Duties and Responsibilities:

Act as an integrator for SAP HR and SAP SF.
Change Request & providing support to existing productive functionalities.
Analyse Symptoms, Define the Problem and Provide the Solution.
Effective Problem Management & Consulting Skills.
Deliver Solutions according to SLAs.
Complete Documentation e.g. Functional Specifications, Configuration Documents, User Manuals, Training Materials, etc.
Conduct End User Trainings.
Coordinate with other consultants across module and with Global Team
Supports Testing for Global Projects

 

Education/Experience:

Bachelor’s Degree.
Certification in SAP SF is a must.
Have worked as a SAP SF Consultant in at least 2/3 full life cycles of SAP SF implementation projects.
Should have experience in Inbound and Outbound Interfaces.
Have at least 12 years of functional experience in the area of HR.

 

Knowledge:

ITIL processes.
Expert in MS Office.

 

Key Competencies:

Good to have SAP ECC HR and SAP SF EC (Employee Central) experience.
Candidates must have good Customer Service approach with a Logical Problem Solving Ability.
Strong Configuration Knowledge in accordance with the Solution Design.
Should be able to Train the User Community.
Should be able to create Test Plan, Test Scripts and Cutover Activities.
Good Communication/Presentation skills with excellent Verbal and Written abilities.
Excellent Interpersonal Skills and the ability to work in a Team Environment.
Reliable and Cooperative Team Player, displays Consideration and Respect for Others.
Displays Tact, Patience and the Ability to Handle Stressful situations.
Demonstrates Competence and Character that inspires trust.
Independently and Proactively Communicates Issues, Priorities and Objectives.
Ability to Anticipate, Identify and Solve Critical Problems.
Ability to Develop and Articulate Technical Concepts for General Use.

 

 act as a brand ambassador to help attract top talent
Understand expectations and demonstrate personal accountability for keeping performance on track
Actively focus on developing effective communication and relationship-building skills
Understand how their daily work contributes to the priorities of the team and the business
Support the team whenever required

 

 Explore Deloitte University, The Leadership Center.","Oct 30, 2024",1
5,Deloitte,72181,,Mumbai,Enabling Areas - Business Analyst - Dashboard Development - Information Technology 1,"Business Analyst – Dashboard Development

 



 

Work you’ll do

At Deloitte, you would be part of a fast-paced team providing end to end reporting solution to business functions and internal verticals

 

Responsibilities:

Collaborate with business stakeholders to elicit, document and validate business requirements for dashboards
Understand business requirements in depth and suggests appropriate visualization
Design, develop, conducts unit testing, and maintains complex reports for scalability, manageability, extensibility, performance, and re-use.
Provide technical expertise in areas of architecture, design, and implementation. 
Work with team members to create useful reports and dashboards that provide insight, and improve/automate processes.
Work through iterative review cycles to deliver results that meet or exceed user expectations.
Ensure consistency by adhering to a set of software coding and style guides.
Ability to query and display large data sets while maximizing the performance of workbook.
 

As a prospective candidate, you should possess:

Minimum of 3-5 years of related work experience in Business Analysis and dashboarding
Strong software engineering practices and is comfortable with Tableau or Power BI dashboard development.
Strong data visualization skills.
Experience in manipulating structured and unstructured data from multiple data systems (on-premises, cloud-based data sources, APIs, etc)

 

Qualifications required:

 Bachelors or MBA Degree Preferred. Candidates from Commerce background will be preferred

 
Experience/Skills required:
Business Analysis Experience on MIS Domain.
Tableau or Power BI
Database – SQL Server / Oracle.
Adept in communicating with stakeholders and translating business requirements into technical dashboard requirements.

 

 act as a brand ambassador to help attract top talent
Understand expectations and demonstrate personal accountability for keeping performance on track
Actively focus on developing effective communication and relationship-building skills
Understand how their daily work contributes to the priorities of the team and the business
Support the team whenever require

 

 Explore Deloitte University, The Leadership Center.","Oct 30, 2024",1
7,Deloitte,69896,,Mumbai,Enabling Areas - Payroll specialist - Human Resource,"Work you’ll do

The employee exit process, also known as offboarding or separation process, refers to the procedures and tasks followed when an employee leaves a company. It includes resignation or termination, documentation, exit interviews, return of company property, and the final settlement of financial obligations.

 

Responsibilities –

Hr Payroll processing
FNF settlements
BGV
Good communication skills

 

 Explore Deloitte University, The Leadership Center.","Oct 30, 2024",1
9,Deloitte,71151,,Bengaluru Eco space,Consulting - ET&P - SAP ABAP -Senior Consultant 1,"Detailed JD-

	 	 	 	 	 	 	 	 	 	 	 	

 

4-6 Years of ABAP Experience Including 2 Years of Experience Required on S/4 HANA system.
Must have experience in 1 E2E S/4 HANA Greenfield Implementation Project
Experience in Advance ABAP Concepts
CDS with Annotations
Custom Business Objects
BRF+
Odata (using CDS, SEGW)
Key user Extensibility Knowledge (CFL)

 

Experience in Core ABAP WRICEF Developments
Reports
In Depth Knowledge of OOPS Programing
Module Pool
Conversions (File Upload from SFTP, LTMC, BAPIs, RFC etc)
Forms : Adobe Forms, Smart Forms, SAP Scripts
Enhancements (Customer Exit, User Exits, BADI, Implicit & Explicit Enhancements
Workflow (Native)
Proxy Generation, SOA Manager, RFC
IDOC, EDI
ABAP 7.57+ Syntax Knowledge
Clean Code Coding Approach
Knowledge of Performance Tunning Techniques

 

Preparing Technical Specification and understand the Functional requirements.","Oct 30, 2024",1
11,Deloitte,71555,,Pune,T&T - ET&P - FT - Advise - Treasury - AD,"Technology & Transformation

Enterprise Technology & Performance | Finance Transformation

 

 



 

The Team
 

Enterprise Technology and Performance is a Service Area comprising of Consulting professionals providing various service offerings on Finance, Supply Chain, SAP, Oracle and Project/Program Management

 

Work you’ll do

 

The primary role of a Manager is to make immediate, direct contributions to enhancing our clients’ competitive position and performance in ways that are distinctive, innovative, and sustainable.

To do this, a Project Manager must perform the following activities:

Execute project management activities in the all phases of project (initiation, planning, design, execution, monitoring, controlling and closure).
Prepare project plan and schedule for large projects covering multiple functional areas or business units.
Manage project scope, resources (human, financial etc.) and schedule to ensure that the project team members are meeting the deadlines and following the guidelines.
Should have strong critical-thinking capabilities to solve problems and think about wide-ranging issues and facilitate decisions.
Should be able to direct, manage and motivate the project team in multi-vendor and multi country environment.
Handle the escalations and conflict within the project team.
Have good working experience in stakeholder management, change management, communication plan, risk and mitigation plan, implementation and cutover plan.
Prepare Project status updates based on the stakeholders, handle Steering Meetings, Phase exits and Project meetings

 

Skills Required

Total 7 to 10 years of work experience of which 3 to 4 years has been specifically on IT Project Management
Experience in managing large global and complex projects is preferred
Minimum 3 years of experience in managing SDLC projects in Cybersecurity area
Experience in Zero Trust, DLP or EDR is preferred
Experience in project management tools such as MS project, JIRA or Azure Dev Ops
Experience in managing projects in waterfall, agile and hybrid methodology
Preferred PMP / CSM / Agile certification
Bachelor’s Degree in Computer Science Engineering from reputed institutions
Outstanding Communication skills, both written and verbal
Willingness and ability to take initiatives and learn independently
Preferred locations – Bangalore/ Pune/ Mumbai/ Hyderabad/ NCR
Flexibility to travel, if needed

 

 

 

 acts as a brand ambassador to help attract top talent","Oct 30, 2024",1
13,Deloitte,70914,,Hyderabad,TnT- EAD- Engineering-Azure Infra- Senior Consultant,"The team
 

Our team focuses on enabling our client’s end-to-end journey from On-Premise to Cloud and Cloud-Native development with opportunities in the areas of Cloud Strategy, Op Model Transformation, Cloud Development, Cloud Integration & APIs, Cloud Migration, Cloud Infrastructure & Engineering, and Cloud Managed Services. We help our clients see the transformational capabilities of Cloud as an opportunity for business enablement and competitive advantage.

 

EAD Engineering supports our clients as they improve agility and resilience, and identifies opportunities to reduce IT operations spend through automation by enabling Cloud. We accelerate our clients towards a technology-driven future, leveraging vendor solutions and Deloitte-developed software products, tools, and accelerators.


Job Description and Key Skills

As a Cloud Infrastructure Engineer, you will provide exceptional technical implementation/guidance to customers adopting Cloud Platform services. This includes providing best practices on secure foundational cloud implementations, automated provisioning of infrastructure and applications, cloud-ready application architectures, and more.
You will also provide prescriptive guidance in ensuring that customers receive the best of what the Cloud Platform can offer and have the best experience in migrating, building, modernizing, and maintaining applications Infrastructure in the Cloud Platform.
Hands-on experience in developing IaC (Infrastructure as Code) using Terraform, ARM or Bicep
Hands-on experience in planning and migration of infrastructure from on-premise to cloud or from one cloud provider to another provider
Should have a good understanding of migration approaches and methodologies
Good working experience and knowledge of cloud migration tools
Working experience in the assessment of client IT landscape
Understanding of cloud deployment architecture and best practices
Understanding of Docker/Kubernetes
Knowledge of technology solutions and an understanding of large-scale computing solutions
Understanding of traditional Datacentre components and virtualization technologies
Extensive project experience migrating from legacy systems and deploying complex cloud-based solutions
Mentor team members in new cloud technologies associated with evolving architecture

 

 

 

 

 

Minimum Qualifications

3+ years working with Microsoft Azure
1+ years of experience as a Terraform/ARM/Bicep engineer
Experience implementing cloud infrastructures on Azure for small, medium scale and enterprise-level applications
Specific experience in implementing Azure, including Virtual Networks, Computes, Load Balancers, Storage, Database and IAM Services
Broad experience with cloud adoption, including application readiness assessment, prototyping of new environments, server builds, data migration, and performance tuning of cloud environments
Technical knowledge of infrastructure components such as Network, Storage, Linux/Windows
Experience with configuring software-defined networking and security configurations, including security groups.
Experience with DevOps procedures and processes and with working in an Agile environment
Experience with troubleshooting very complex distributed environments pertaining to connectivity and application performance and monitoring tools and offering high-level strategic planning and advice to an entity that will allow for the successful adoption or migration of Cloud-based technologies or services

 

An ideal candidate should possess:

Excellent analytical skills and communication skills (written, verbal and presentation)
Ability to effectively articulate architectural and business use case requirements to a non-technical audience, including both internal and client-facing engagements
Ability to chart one’s own career and build networks within the organisation
Ability to work both, independently and as part of a team with professionals at all career levels
Ability to prioritize tasks, work on multiple assignments, and raise concerns/questions where appropriate
Own the work assigned from end-to-end

 

Your role as a leader

 

At Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society, and make an impact that matters.

 

In addition to living our purpose, managers across our organisation:

 

Develop self by actively seeking opportunities for growth, share knowledge and experiences with others, and act as a strong brand ambassadors
Understand objectives for clients and Deloitte, align own work to objectives and set personal priorities
Seek opportunities to challenge self
Collaborate with others across businesses and borders to deliver and take accountability for own and team results
Identify and embrace our purpose and values and put these into practice in their professional life
Build relationships and communicate effectively in order to positively influence peers and other stakeholders

 

Professional growth

 

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn.From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.","Oct 30, 2024",1
15,Deloitte,71863,,Bengaluru,Enabling Areas - EUC Consultant - DM - IT,"Deloitte is where you’ll find unrivaled opportunities to succeed and realize your full potential.

 

 

Work you’ll do

 

We are seeking a highly experienced End User Computing (EUC) Consultant with 5-7 years of experience to join our IT team. The ideal candidate will have a strong background in designing, implementing, and managing comprehensive end-user computing solutions, including virtual desktops (VDI), cloud PCs, and application delivery systems. This role requires expertise in endpoint management tools, image deployment, Microsoft Intune, Autopatch, Autopilot, device hardware management, and security practices. The EUC Consultant will work closely with the IT operations team to enhance user experience, implement best practices, and leverage emerging technologies, including automation, Copilot, and DevOps practices.

 

Key Responsibilities:

End User Computing Solutions:

Design, deploy, and manage VDI solutions (e.g., VMware Horizon, Citrix Virtual Apps and Desktops) and cloud PC environments (e.g., Microsoft Azure Virtual Desktop, AWS Workspaces).
Optimize solutions for desktops, laptops, and virtual environments.

Endpoint Management:

Utilize tools such as SCCM, MDM, and MDEM for deployment and management.
Oversee endpoint security and compliance across various operating systems including Windows 11, MacOS, and Linux.

Image Deployment and Management:

Develop and maintain OS images, manage lifecycle, and ensure compatibility with end-user needs.
Implement OS customization and deployment (Autopilot) using SCCM/Intune or similar tools.

Microsoft Intune:

Implement and manage Intune for device management, including Autopatch for automated patch management and Autopilot for device provisioning.
Utilize Intune features including Autopatch for automated patch management and Autopilot for device provisioning.

Device Hardware Management:

Manage hardware lifecycle: driver updates, device upgrades, and hardware testing.
Test new hardware models for compatibility and performance.

Collaboration with IT Operations Team:

Work with IT operations to enhance user experience, implement best practices, and integrate emerging technologies, including automation, Copilot, and DevOps practices.
Implement DevOps methodologies to streamline IT operations and improve deployment efficiency.

Implementation and Optimization:

Lead deployment of EUC solutions with a focus on performance, reliability, and security.
Evaluate and integrate new technologies to improve environments.

Support and Troubleshooting:

Provide advanced support for VDI, cloud PCs, and endpoint management issues.
Troubleshoot high-level technical problems.

Security and Compliance:

Implement security practices including patch management, update deployment, and vulnerability assessments.
Develop and enforce endpoint security policies.

User Experience Improvement:

Address user feedback and implement automation solutions to enhance satisfaction.

Documentation and Training:

Create and maintain documentation for EUC solutions and provide training for IT staff and end-users.

Continuous Improvement:

Stay updated on industry trends and recommend improvements for EUC solutions, including automation, Copilot, and DevOps.

 

Qualifications:

Education and Experience:

Bachelor’s degree in computer science, Information Technology, or a related field.
5- 7 years of experience in an EUC Consultant role or similar capacity, with extensive experience in VDI, cloud PCs, endpoint management, image deployment, OS expertise (Windows 10 and above, IoT, Mac, Linux)and Microsoft Intune.
Relevant certifications (e.g., Microsoft Certified: Modern Desktop Administrator, VMware Certified Professional, Citrix Certified Associate, AWS Certified Solutions Architect) are highly preferred.

Technical Skills:

Expertise in VDI solutions (e.g., VMware Horizon, Citrix Virtual Apps and Desktops) and cloud PC platforms (e.g., AVD, AWS Workspaces).
Proficient with endpoint management tools such as SCCM, MDM, and MDEM.
Strong experience with image deployment, including creating and managing OS images and extensive hands-on Windows, Mac, Linux OS across the platform.
Knowledge of Intune features such as Autopatch for automated patch management and Autopilot for device provisioning.
Strong knowledge of device hardware management, including driver updates, device upgrades, and hardware testing.
Solid understanding of security practices, including patch management, update deployment, and vulnerability assessments.
In-depth knowledge of desktop operating systems (Windows, macOS), networking, and cloud technologies.
Experience with automation tools and practices, Copilot, and DevOps methodologies.

Soft Skills:

Excellent problem-solving and analytical skills.
Strong communication and interpersonal abilities.
Ability to manage multiple projects and priorities in a fast-paced environment.
Detail-oriented with a focus on delivering high-quality results.

Work Environment:

Primarily office-based with occasional remote work option.
May require occasional travel to client sites or other company locations.
Preferred Location: Bangalore

 

Your role as a leader

 

At Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters.

 

In addition to living our purpose, Assistant Manager across our organization:

 

Acts as a role model, embracing and living our purpose and values, and recognizing others for the impact they make
Develops high-performing people and teams through challenging and meaningful opportunities
Delivers exceptional client service; maximizes results and drives high performance from people while fostering collaboration across businesses and borders
Influences clients, teams, and individuals positively, leading by example and establishing confident relationships with increasingly senior people
Understands key objectives for clients and Deloitte, aligns people to objectives and sets priorities and direction

 

 

 Explore Deloitte University, The Leadership Center.

 



 

 

 



 

 

 

 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”), its network of member firms, and their related entities. DTTL and each of its member firms are legally separate and independent entities.

 

*Caution against fraudulent job offers*: We would like to advise career aspirants to exercise caution against fraudulent job offers or unscrupulous practices.

At Deloitte, ethics and integrity are fundamental and not negotiable.  We do not charge any fee or seek any deposits, advance, or money from any career aspirant in relation to our recruitment process.  We have not authorized any party or person to collect any money from career aspirants in any form whatsoever for promises of getting jobs in Deloitte or for being considered against roles in Deloitte. We follow a professional recruitment process, provide a fair opportunity to eligible applicants and consider candidates only on merit. No one other than an authorized official of Deloitte is permitted to offer or confirm any job offer from Deloitte.  We advise career aspirants to exercise caution.

In this regard, you may refer to a more detailed advisory given on our website at: https://www2.deloitte.com/in/en/careers/advisory-for-career-aspirants.html?icid=wn_

 

 

Job Summary:","Oct 30, 2024",1
17,Deloitte,68937,,Bengaluru,Consulting-ET&P-SAP ABAP-Senior Consultant,"Your potential, unleashed.

 

India’s impact on the global economy has increased at an exponential rate and Deloitte presents an opportunity to unleash and realize your potential amongst cutting edge leaders, and organizations shaping the future of the region, and indeed, the world beyond.

 

At Deloitte, your whole self to work, every day. Combine that with our drive to propel with purpose and you have the perfect playground to collaborate, innovate, grow, and make an impact that matters.

 

The team
 

SAP is about much more than just the numbers. It’s about attesting to accomplishments and challenges and helping to assure strong foundations for future aspirations. Deloitte exemplifies what, how, and why of change so you’re always ready to act ahead. Learn more about SAP Practice


 

Your work profile

 

As a Senior Consultant in our SAP ABAP Team you’ll build and nurture positive working relationships with teams and clients with the intention to exceed client expectations: -

 

Should have the experience in ABAP objects, Classes, events, methods, User-exits, BADI- s, forms, Adobe form, ALE/ IDOCs and Performance tuning, S4 HANA, OOABAP
Should have worked in 1-3 implementation.
Should be willing to work as an implementation Team member,
Should able to work in client place and should have client facing skills,

 

Desired qualifications

Graduate degree (Science or Engineering) from premier institutes.
Strong communication skills (written & verbal).
Willingness to travel for short and long term durations.

Location and way of working

Base location: Bangalore
This profile involves occasional travelling to client locations OR this profile does not involve extensive travel for work.
Hybrid is our default way of working. Each domain has customized the hybrid approach to their unique needs.

 

 

Your role

 

We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society.

 

In addition to living our purpose, Senior Executive across our organization must strive to be:

 

Inspiring - Leading with integrity to build inclusion and motivation
Committed to creating purpose - Creating a sense of vision and purpose
Agile - Achieving high-quality results through collaboration and Team unity
Skilled at building diverse capability - Developing diverse capabilities for the future
Persuasive / Influencing - Persuading and influencing stakeholders
Collaborating - Partnering to build new solutions
Delivering value - Showing commercial acumen
Committed to expanding business - Leveraging new business opportunities
Analytical Acumen - Leveraging data to recommend impactful approach and solutions through the power of analysis and visualization
Effective communication – Must be well abled to have well-structured and well-articulated conversations to achieve win-win possibilities
Engagement Management / Delivery Excellence - Effectively managing engagement(s) to ensure timely and proactive execution as well as course correction for

the success of engagement(s)

Managing change - Responding to changing environment with resilience
Managing Quality & Risk - Delivering high quality results and mitigating risks with utmost integrity and precision
Strategic Thinking & Problem Solving - Applying strategic mindset to solve business issues and complex problems
Tech Savvy - Leveraging ethical technology practices to deliver high impact for clients and for Deloitte
Empathetic leadership and inclusivity - creating a safe and thriving environment where everyone's valued for who they are, use empathy to understand others to adapt our behaviors and attitudes to become more inclusive. 

 

 We recognise there is no one size fits all career path, and global, cross-business mobility and up / re-skilling are all within the range of possibilities to shape a unique and fulfilling career. Know more about Life at Deloitte.

 

 

Everyone’s welcome… entrust your happiness to us                                                                                                                 

                                                                                                                

Our workspaces and initiatives are geared towards your 360-degree happiness. This includes specific needs you may have in terms of accessibility, flexibility, safety and security, and caregiving. Here’s a glimpse of things that are in store for you.  

 

 

Interview tips

 

We want job seekers exploring opportunities at Deloitte to feel prepared, confident, and comfortable. To help you with your interview, we suggest that you do your research, know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.

 

*Caution against fraudulent job offers*: We would like to advise career aspirants to exercise caution against fraudulent job offers or unscrupulous practices.

At Deloitte, ethics and integrity are fundamental and not negotiable.  We do not charge any fee or seek any deposits, advance, or money from any career aspirant in relation to our recruitment process.  We have not authorized any party or person to collect any money from career aspirants in any form whatsoever for promises of getting jobs in Deloitte or for being considered against roles in Deloitte. We follow a professional recruitment process, provide a fair opportunity to eligible applicants and consider candidates only on merit. No one other than an authorized official of Deloitte is permitted to offer or confirm any job offer from Deloitte.  We advise career aspirants to exercise caution.

In this regard, you may refer to a more detailed advisory given on our website at: https://www2.deloitte.com/in/en/careers/advisory-for-career-aspirants.html?icid=wn_","Oct 30, 2024",1
19,Deloitte,71862,,Bengaluru,Enabling Areas - EUC Specialist - AM - IT,"Deloitte is where you’ll find unrivaled opportunities to succeed and realize your full potential.

 

 

Work you’ll do

 

We are looking for End User Computing (EUC) Specialist with 3-5 years of experience to join our IT team. The ideal candidate will have a strong background in managing and support end-user devices and applications within a modern workplace, focusing on advanced technical support, IT operations, and Modern device management. This role requires expertise in troubleshooting complex issues, implementing EUC solutions, and ensuring effective deployment and management of Intune for endpoint security and compliance.

Key Responsibilities:

Ownership of Escalated Issues: Manage complex technical problems, both remotely and in person, ensuring minimal disruption.
Prioritize 3rd Line Support Requests: Ensure prompt resolution of support requests with a focus on user satisfaction.
Optimize User-Facing Infrastructure: Maintain and secure desktops, laptops, mobile devices, and printers for optimal performance and compliance.
System Improvement Initiatives: Identify and implement system improvements in collaboration with EUC engineers and automating the infra operations using devops.
Service Level Adherence: Monitor and manage IT service performance, ensuring compliance with agreed service levels.
Knowledge Base Enhancement: Contribute to advanced troubleshooting techniques and best practices.
Cross-Functional Collaboration: Work with other technology teams to ensure seamless integration and operation of IT services.

 

Requirements:

Experience: 3-5 years of experience in IT support or EUC roles, with a strong background in end-user device management and IT operations.
User Care Skills: Provide exceptional service to end-users, including VIPs.
Technical Proficiency: Proficiency in Microsoft Intune, including device enrollment, policy configuration, application deployment, and compliance management. Experience with operating systems (Windows, macOS), endpoint management tools, and virtual desktop solutions (e.g., Azure Virtual Desktop, Cloud PCs, VMware Horizon, Citrix). Experience in DevOps methodologies, automation, and copilot.
Deployment:  Update management, application packaging and deployment, OS customization and deploy (autopilot) using SCCM/Intune or any modern device management tool
Mobile Device Management: Expertise in managing Android, iOS devices securely and efficiently using MDM/MDEM.
Certifications: Relevant certifications such as CompTIA A+, Microsoft Certified: Modern Desktop Administrator Associate, or similar certifications preferred.
Video Conferencing Support: Proven experience in managing video conferencing equipment and software like surface hub.
Problem-Solving Skills: Strong analytical and troubleshooting skills with the ability to resolve complex technical issues.
Communication Skills: Outstanding ability to interact with users at all levels, including senior executives.
Emerging Technologies: Stay updated with industry best practices and implement innovative IT solutions.

 

Qualifications: Engineering Graduate or Graduation in any stream full time

Work Environment:

Primarily office-based with occasional remote work option.
May require occasional travel to client sites or other company locations.
Preferred Location: Bangalore

 

This role is ideal for someone who can manage complex technical challenges, ensure optimal IT service delivery, and work collaboratively across teams to drive continuous improvement.

 

Your role as a leader

 

At Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters.

 

In addition to living our purpose, Assistant Manager across our organization:

 

Acts as a role model, embracing and living our purpose and values, and recognizing others for the impact they make
Develops high-performing people and teams through challenging and meaningful opportunities
Delivers exceptional client service; maximizes results and drives high performance from people while fostering collaboration across businesses and borders
Influences clients, teams, and individuals positively, leading by example and establishing confident relationships with increasingly senior people
Understands key objectives for clients and Deloitte, aligns people to objectives and sets priorities and direction

 

 

 Explore Deloitte University, The Leadership Center.

 



 

 

 



 

 

 

 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”), its network of member firms, and their related entities. DTTL and each of its member firms are legally separate and independent entities.

 

*Caution against fraudulent job offers*: We would like to advise career aspirants to exercise caution against fraudulent job offers or unscrupulous practices.

At Deloitte, ethics and integrity are fundamental and not negotiable.  We do not charge any fee or seek any deposits, advance, or money from any career aspirant in relation to our recruitment process.  We have not authorized any party or person to collect any money from career aspirants in any form whatsoever for promises of getting jobs in Deloitte or for being considered against roles in Deloitte. We follow a professional recruitment process, provide a fair opportunity to eligible applicants and consider candidates only on merit. No one other than an authorized official of Deloitte is permitted to offer or confirm any job offer from Deloitte.  We advise career aspirants to exercise caution.

In this regard, you may refer to a more detailed advisory given on our website at: https://www2.deloitte.com/in/en/careers/advisory-for-career-aspirants.html?icid=wn_","Oct 30, 2024",1
