S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,EXL,EXL/LAM/1191051,"Department: Analytics>Analytics - UK & Europe>Services>Analytics - UK & Europe>Analytics
Required Experience: 1-4 years
Required Skills: Python, SAS","Gurgaon, EXL - Gurgaon Center 38",Lead Assistant Manager,"Analytics | Experience: 1-4 years | Skills: Python, SAS",30 Oct 2024,1
2,EXL,EXL/SE/1175559,"Department: Insurance>Insurance>Insurance Life & Annuities>Back Office>Operations
Required Experience: 1-2 years
Required Skills: Disability Claims Management, Claims Handling","Noida, Noida-SEZ BPO Solutions",Senior Executive,"Operations | Experience: 1-2 years | Skills: Disability Claims Management, Claims Handling",30 Oct 2024,1
3,EXL,EXL/E/1180863,"Department: Insurance>Insurance>Insurance Life & Annuities>Back Office>Operations
Required Experience: 0-1 years
Required Skills: Computer Competency, Insurance Claims, Communication and Interpersonal skills","Pune, IN Pune C11",Executives,"Operations | Experience: 0-1 years | Skills: Computer Competency, Insurance Claims, Communication and Interpersonal skills",30 Oct 2024,1
4,EXL,EXL/SE/1182033,"Department: Insurance>Insurance>Insurance Finance & Accounting>Back Office>Operations
Required Experience: 1-2 years
Required Skills: MS Excel, Reconciliation, Accounting, Commuincation","Noida, Noida-SEZ BPO Solutions",Senior Executive,"Operations | Experience: 1-2 years | Skills: MS Excel, Reconciliation, Accounting, Commuincation",29 Oct 2024,1
5,EXL,EXL/LAM/1189087,"Department: Insurance>Insurance>Insurance Finance & Accounting>Back Office>Operations
Required Experience: 6-10 years
Required Skills: Accounting, Excel, Reconciliation, Oracle","Noida, Noida - Centre 59",Lead Assistant Manager,"Operations | Experience: 6-10 years | Skills: Accounting, Excel, Reconciliation, Oracle",29 Oct 2024,1
6,EXL,EXL/AM/1189098,"Department: Insurance>Insurance>Insurance Finance & Accounting>Back Office>Operations
Required Experience: 5-8 years
Required Skills: Oracle, Reconciliation, Excel, Accounting","Noida, Noida - Centre 59",Assistant Manager,"Operations | Experience: 5-8 years | Skills: Oracle, Reconciliation, Excel, Accounting",29 Oct 2024,1
7,EXL,EXL/LAM/1183585,"Department: Analytics>Insurance>Services>Consulting>Analytics
Required Experience: 3-6 years
Required Skills: Snowflake, ETL, Python, Power BI, Apache, DevOps, SQL, Data Factory","Gurgaon, EXL - Gurgaon Center 38",Lead Assistant Manager,"Analytics | Experience: 3-6 years | Skills: Snowflake, ETL, Python, Power BI, Apache, DevOps, SQL, Data Factory",29 Oct 2024,1
8,EXL,EXL/M/1183756,"Department: Analytics>Insurance>Services>Consulting>Analytics
Required Experience: 3-8 years
Required Skills: Power BI, SQL, SAS","Gurgaon, EXL - Gurgaon Center 38",Manager,"Analytics | Experience: 3-8 years | Skills: Power BI, SQL, SAS",29 Oct 2024,1
9,EXL,EXL/SE/1190208,"Department: Insurance>Insurance>Insurance Finance & Accounting>Back Office>Operations
Required Experience: 3-5 years
Required Skills: Tableau, SQL, VBA, Advance Excel, Macro","Noida, Noida - Centre 59",Senior Executive,"Operations | Experience: 3-5 years | Skills: Tableau, SQL, VBA, Advance Excel, Macro",29 Oct 2024,1
10,EXL,EXL/M/1178465,"Department: Enabling>Growth Office>Growth Office>Marketing>Marketing Digital & Operations
Required Experience: 5-8 years
Required Skills: Stakeholder Management, Digital Marketing, Reporting & Analysis, Performance Marketing, Stakeholder communication, salesforce","Noida, Noida - Centre 59",Manager,"Marketing Digital & Operations | Experience: 5-8 years | Skills: Stakeholder Management, Digital Marketing, Reporting & Analysis, Performance Marketing, Stakeholder communication, salesforce",29 Oct 2024,1
