S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,Accenture,ATCI-4265677-S1648960_en,Software Engineering,Jaipur,Application Lead,"— Project Role : Application LeadProject Role Description : Lead the effort to design, build and configure applications, acting as the primary point of contact. Must have skills : Salesforce Lightning Web ComponentsGood to have skills : Salesforce DevelopmentMinimum 5 year(s) of experience is requiredEducational Qualification : regular 15 years educationSummary: As an Application Lead, you will lead the effort to design, build, and configure applications, acting as the primary point of contact. You will be responsible for managing the team and collaborating with multiple teams to make key decisions. Your typical day will involve overseeing the application development process, providing solutions to problems, and ensuring the successful delivery of projects. Roles & Responsibilities: - Expected to be an SME - Collaborate and manage the team to perform - Responsible for team decisions - Engage with multiple teams and contribute to key decisions - Provide solutions to problems for their immediate team and across multiple teams - Lead the effort to design, build, and configure applications - Act as the primary point of contact for the application development process - Oversee the successful delivery of projects Professional & Technical Skills: - Must To Have Skills: Proficiency in Salesforce Lightning Web Components, Salesforce Development - Strong understanding of statistical analysis and machine learning algorithms - Experience with data visualization tools such as Tableau or Power BI - Hands-on implementing various machine learning algorithms such as linear regression, logistic regression, decision trees, and clustering algorithms - Solid grasp of data munging techniques, including data cleaning, transformation, and normalization to ensure data quality and integrity Additional Information: - The candidate should have a minimum of 5 years of experience in Salesforce Lightning Web Components - This position is based in Jaipur - A regular 15 years education is required",Posted 3 days ago,1
2,Accenture,ATCI-4397433-S1723593_en,Software Engineering,Kolkata,Application Lead,"— Project Role : Application LeadProject Role Description : Lead the effort to design, build and configure applications, acting as the primary point of contact. Must have skills : Databricks Unified Data Analytics PlatformGood to have skills : NAMinimum 7.5 year(s) of experience is requiredEducational Qualification : BESummary: As a Databricks Unified Data Analytics Platform Application Lead, you will be responsible for leading the effort to design, build, and configure applications, acting as the primary point of contact. Your typical day will involve working with the Databricks Unified Data Analytics Platform, collaborating with cross-functional teams, and ensuring the successful delivery of applications. Roles & Responsibilities: - Lead the design, development, and deployment of applications using the Databricks Unified Data Analytics Platform. - Act as the primary point of contact for all application-related activities, collaborating with cross-functional teams to ensure successful delivery. - Ensure the quality and integrity of applications through rigorous testing and debugging. - Provide technical guidance and mentorship to junior team members, fostering a culture of continuous learning and improvement. Professional & Technical Skills: - Must To Have Skills: Expertise in the Databricks Unified Data Analytics Platform. - Good To Have Skills: Experience with other big data technologies such as Hadoop, Spark, and Kafka. - Strong understanding of software engineering principles and best practices. - Experience with agile development methodologies and tools such as JIRA and Confluence. - Proficiency in programming languages such as Python, Java, or Scala. Additional Information: - The candidate should have a minimum of 5 years of experience in the Databricks Unified Data Analytics Platform. - The ideal candidate will possess a strong educational background in computer science or a related field, along with a proven track record of delivering impactful data-driven solutions. - This position is based at our Chennai office.",Posted 3 days ago,1
3,Accenture,ATCI-4672542-S1806889_en,Software Engineering,Bengaluru,Application Developer,"— Project Role : Application DeveloperProject Role Description : Design, build and configure applications to meet business process and application requirements. Must have skills : Node.jsGood to have skills : No Function SpecialtyMinimum 3 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Developer, you will design, build, and configure applications to meet business process and application requirements. You will be responsible for developing and implementing software solutions using Node.js. Your typical day will involve collaborating with the team to understand business requirements, designing and coding applications, and ensuring the quality and performance of the software. Roles & Responsibilities: - Expected to perform independently and become an SME. - Required active participation/contribution in team discussions. - Contribute in providing solutions to work related problems. - Design, develop, and test software applications using Node.js. - Collaborate with cross-functional teams to gather and analyze business requirements. - Participate in code reviews to ensure code quality and adherence to coding standards. - Troubleshoot and debug applications to identify and fix issues. - Contribute to the continuous improvement of software development processes and practices. Professional & Technical Skills: - Must To Have Skills: Proficiency in Node.js. - Good To Have Skills: Experience with JavaScript frameworks such as Express.js or React.js. - Strong understanding of software development principles and best practices. - Experience with RESTful APIs and web services. - Knowledge of database systems such as MongoDB or MySQL. Additional Information: - The candidate should have a minimum of 3 years of experience in Node.js. - This position is based at our Bengaluru office. - A 15 years full time education is required.",Posted 3 days ago,1
4,Accenture,ATCI-4673111-S1806650_en,Software Engineering,Bengaluru,Application Developer,"— Project Role : Application DeveloperProject Role Description : Design, build and configure applications to meet business process and application requirements. Must have skills : SAP for RetailGood to have skills : NAMinimum 3 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements. You will work closely with the team to ensure the successful delivery of high-quality software solutions. Roles & Responsibilities: - Expected to perform independently and become an SME. - Required active participation/contribution in team discussions. - Contribute in providing solutions to work related problems. - Collaborate with cross-functional teams to gather and analyze requirements. - Design, develop, and test software applications using SAP for Retail. - Troubleshoot and debug issues in existing applications. - Ensure the scalability and performance of applications. - Stay updated with the latest industry trends and technologies. - Assist in the deployment and maintenance of applications. Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP for Retail. - Good To Have Skills: Experience with SAP HANA. - Strong understanding of software development principles and methodologies. - Experience in designing and implementing SAP solutions. - Knowledge of SAP modules such as SD, MM, and FI. - Familiarity with SAP Retail functionalities. - Ability to write efficient and optimized code. - Excellent problem-solving and analytical skills. Additional Information: - The candidate should have a minimum of 3 years of experience in SAP for Retail. - This position is based at our Bengaluru office. - A 15 years full time education is required.",Posted 3 days ago,1
5,Accenture,ATCI-4673153-S1806556_en,Software Engineering,Hyderabad,Application Lead,"— Project Role : Application LeadProject Role Description : Lead the effort to design, build and configure applications, acting as the primary point of contact. Must have skills : SAP FI S/4HANA AccountingGood to have skills : NAMinimum 7.5 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Lead, you will lead the effort to design, build, and configure applications, acting as the primary point of contact. You will be responsible for managing the team and ensuring successful project delivery. Your typical day will involve collaborating with multiple teams, making key decisions, and providing solutions to problems for your immediate team and across multiple teams. Roles & Responsibilities: - Expected to be an SME - Collaborate and manage the team to perform - Responsible for team decisions - Engage with multiple teams and contribute on key decisions - Provide solutions to problems for their immediate team and across multiple teams - Lead the effort to design, build, and configure applications - Act as the primary point of contact for the project - Manage the team and ensure successful project delivery - Collaborate with multiple teams to make key decisions - Provide solutions to problems for the immediate team and across multiple teams Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP FI S/4HANA Accounting - Strong understanding of statistical analysis and machine learning algorithms - Experience with data visualization tools such as Tableau or Power BI - Hands-on implementing various machine learning algorithms such as linear regression, logistic regression, decision trees, and clustering algorithms - Solid grasp of data munging techniques, including data cleaning, transformation, and normalization to ensure data quality and integrity Additional Information: - The candidate should have a minimum of 7.5 years of experience in SAP FI S/4HANA Accounting - This position is based at our Hyderabad office - A 15 years full-time education is required",Posted 3 days ago,1
6,Accenture,ATCI-4657525-S1806584_en,Software Engineering,Bengaluru,Software Development Engineer,"— Project Role : Software Development EngineerProject Role Description : Analyze, design, code and test multiple components of application code across one or more clients. Perform maintenance, enhancements and/or development work. Must have skills : Oracle Integration Cloud Service (ICS)Good to have skills : NAMinimum 7.5 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As a Software Development Engineer, you will analyze, design, code, and test multiple components of application code across one or more clients. You will perform maintenance, enhancements, and development work. Your typical day will involve analyzing requirements, designing solutions, writing code, and conducting testing to ensure the quality of the application. Roles & Responsibilities: - Expected to be an SME, collaborate and manage the team to perform. - Responsible for team decisions. - Engage with multiple teams and contribute on key decisions. - Provide solutions to problems for their immediate team and across multiple teams. - Collaborate with stakeholders to gather requirements and understand business needs. - Design and develop high-quality software solutions using Oracle Integration Cloud Service (ICS). - Perform code reviews and provide constructive feedback to team members. - Troubleshoot and debug issues in the application code. - Ensure adherence to coding standards and best practices. - Stay updated with the latest technologies and industry trends. - Mentor junior team members and provide guidance on technical challenges. Professional & Technical Skills: - Must To Have Skills: Proficiency in Oracle Integration Cloud Service (ICS). - Good To Have Skills: Experience with Oracle SOA Suite, Oracle Service Bus. - Strong understanding of integration concepts and patterns. - Experience in designing and implementing integrations using Oracle Integration Cloud Service (ICS). - Knowledge of REST and SOAP web services. - Familiarity with XML, XSLT, and JSON. - Experience with Oracle Database and SQL. - Ability to troubleshoot and resolve integration issues. - Excellent problem-solving and analytical skills. Additional Information: - The candidate should have a minimum of 7.5 years of experience in Oracle Integration Cloud Service (ICS). - This position is based at our Bengaluru office. - A 15 years full-time education is required.",Posted 3 days ago,1
7,Accenture,ATCI-4648517-S1806165_en,Software Engineering,Ahmedabad,Application Support Engineer,"— Project Role : Application Support EngineerProject Role Description : Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems. Must have skills : SAP Quality Management (QM)Good to have skills : NAMinimum 7.5 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Support Engineer, you will act as software detectives, providing a dynamic service identifying and solving issues within multiple components of critical business systems. You will play a crucial role in ensuring the smooth functioning of the applications and providing support to end-users. Roles & Responsibilities: - Familiarity with relevant SAP modules (e.g., FI, MM, SD) to ensure correct data migration and define DQ checks accordingly. - Responsible for team decisions. - Engage with multiple teams and contribute on key decisions. - Provide solutions to problems for their immediate team and across multiple teams. - Ensure timely resolution of application issues and incidents. - Perform root cause analysis and implement preventive measures. - Collaborate with cross-functional teams to troubleshoot and resolve technical issues. - Conduct regular system audits to ensure data integrity and system stability. Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP Quality Management (QM). - Strong understanding of software development lifecycle and application support processes. - Experience in troubleshooting and resolving application issues. - Knowledge of SQL and database management systems. - Good To Have Skills: Experience with SAP ERP modules. - Familiarity with ITIL framework and incident management processes. Additional Information: - The candidate should have a minimum of 3 years of experience in SAP Quality Management (QM). - This position is based at our Hyderabad office. - A 15 years full time education is required.",Posted 3 days ago,1
8,Accenture,ATCI-4664833-S1806894_en,Software Engineering,Pune,Application Developer,"— Project Role : Application DeveloperProject Role Description : Design, build and configure applications to meet business process and application requirements. Must have skills : SAP Master Data Management & ArchitectureGood to have skills : No Function SpecialtyMinimum 3 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Developer, you will design, build, and configure applications to meet business process and application requirements. You will be responsible for ensuring the smooth functioning of applications and addressing any issues that may arise. Your typical day will involve collaborating with cross-functional teams, analyzing user requirements, designing and implementing solutions, and conducting testing and debugging activities. You will also have the opportunity to contribute to the continuous improvement of application development processes and technologies. Roles & Responsibilities: - Expected to perform independently and become an SME. - Required active participation/contribution in team discussions. - Contribute in providing solutions to work-related problems. - Collaborate with cross-functional teams to analyze user requirements and design application solutions. - Build and configure applications according to business process and application requirements. - Conduct testing and debugging activities to ensure the smooth functioning of applications. - Address any issues or bugs that may arise and provide timely resolutions. - Contribute to the continuous improvement of application development processes and technologies. Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP Master Data Management & Architecture. - Strong understanding of software development principles and methodologies. - Experience in designing and developing applications using SAP technologies. - Knowledge of SAP modules and integration with other systems. - Experience with data migration and data quality management in SAP. - Good To Have Skills: Experience with SAP S/4HANA and Fiori development. - Familiarity with agile development methodologies. - Knowledge of cloud platforms and technologies. Additional Information: - The candidate should have a minimum of 3 years of experience in SAP Master Data Management & Architecture. - This position is based at our Pune office. - A 15 years full-time education is required.",Posted 3 days ago,1
9,Accenture,ATCI-4648518-S1806155_en,Software Engineering,Ahmedabad,Application Support Engineer,"— Project Role : Application Support EngineerProject Role Description : Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems. Must have skills : SAP Quality Management (QM)Good to have skills : NAMinimum 3 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Support Engineer, you will act as software detectives, providing a dynamic service identifying and solving issues within multiple components of critical business systems. You will play a crucial role in ensuring the smooth functioning of the applications and providing support to end-users. Roles & Responsibilities: - Expected to perform independently and become an SME. - Required active participation/contribution in team discussions. - Contribute in providing solutions to work related problems. - Collaborate with cross-functional teams to troubleshoot and resolve application issues. - Monitor and maintain the performance of critical business systems. - Identify and analyze software defects and propose solutions. - Provide technical support to end-users and assist in resolving their queries. - Document and maintain accurate records of support activities. Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP Quality Management (QM). S/4 HANA Implementation is must. - Strong understanding of software development lifecycle and application support processes. - Experience in troubleshooting and resolving application issues. - Knowledge of SQL and database management systems. - Familiarity with incident management and ticketing systems. Additional Information: - The candidate should have a minimum of 3 years of experience in SAP Quality Management (QM). - This position is based at our Hyderabad office. - A 15 years full time education is required.",Posted 3 days ago,1
10,Accenture,ATCI-4672550-S1806871_en,Software Engineering,Bengaluru,Application Lead,"— Project Role : Application LeadProject Role Description : Lead the effort to design, build and configure applications, acting as the primary point of contact. Must have skills : Worksoft CertifyGood to have skills : NAMinimum 5 year(s) of experience is requiredEducational Qualification : 15 years full time educationSummary: As an Application Lead, you will lead the effort to design, build, and configure applications, acting as the primary point of contact. You will be responsible for managing the team and ensuring successful project delivery. Roles & Responsibilities: - Expected to be an SME, collaborate, and manage the team to perform. - Responsible for team decisions. - Engage with multiple teams and contribute to key decisions. - Provide solutions to problems for their immediate team and across multiple teams. - Lead the effort to design, build, and configure applications. - Act as the primary point of contact for the project. - Manage the team and ensure successful project delivery. - Collaborate with stakeholders to gather requirements and provide technical guidance. Professional & Technical Skills: - Must To Have Skills: Proficiency in Worksoft Certify. - Strong understanding of software development lifecycle and quality assurance processes. - Experience in test planning, test case design, and test execution. - Knowledge of automation testing tools and frameworks. - Experience in defect tracking and reporting. - Good To Have Skills: Experience with Agile methodologies. Additional Information: - The candidate should have a minimum of 5 years of experience in Worksoft Certify. - This position is based at our Bengaluru office. - A 15 years full-time education is required.",Posted 3 days ago,2
