S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,EXL,EXL/SE/1192064,Insurance Finance & Accounting,Noida,Senior Executive,"Basic Section:
Number Of Positions
1
Band
A2
Band Name
Senior Executive
Cost Code
5650851
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
Backfill
Max CTC
300000.0000 - 400000.0000
Complexity Level
Back Office (Complexity Level 4)
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Insurance
Sub Group
Insurance
Organization
Insurance Finance & Accounting
LOB
Back Office
SBU
Operations
Country
India
City
Noida
Center
Noida - Centre 59

Skills:
Skill
FINANCE & ACCOUNTING
RECONCILIATION
Minimum Qualification
B.COM
Certification
No data available

Job Description:
Prepare Accruals for month and quarter end closing and booking it in General Ledger
Prepare Sub-ledger to General Ledger reconciliations and analysis of variances
Manually record transactions into various sub-systems
Rigorous analysis of accrual and reporting trends or any other relevant data
Preparation of Statutory Reporting and uploading to Wings
Assist project team in the deployment/testing of any new admin system for Accounting Center of Excellence
Collaborate on any adhoc projects related to testing, new deployment, etc.
",01 Nov 2024,1
2,EXL,EXL/AM/553009,Data Management,Gurgaon,Assistant Manager,"Basic Section:
Number Of Positions
4
Band
B1
Band Name
Assistant Manager
Cost Code
S030105
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
800000.0000 - 1200000.0000
Complexity Level
Not Applicable
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Analytics
Sub Group
Analytics Common
Organization
Data Management
LOB
Consulting
SBU
Sales & Marketing
Country
India
City
Gurgaon
Center
EXL - Gurgaon Center 38

Skills:
Skill
COLD CALLING
CHANNEL SALES
LEAD GENERATION
LEAD MANAGEMENT
Minimum Qualification
GRADUATE
Certification
No data available

Job Description:
Lead Generation /Qualification
 Experience: 3+ years’ experience in lead generation using Google Ads, Emails, Online forms, Surveys, Calling etc
 Job Description for Lead Generation Expert 
We are looking for an experienced Lead Generation Expert who can plan & execute digital marketing campaigns, including web, SEO/SEM, email, social media, and display advertising.
Responsibilities 
Establish the end-to-end lead generation capabilities and strategy that align with the needs and goals of the company
Execute all web, SEO/SEM, PPC, marketing database, email, social media, and display advertising campaigns
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)
Identify trends and insights, and optimize spend and performance based on the insights
Develop and lead the implementation of the longer-term data and analytics capability, in consultation with the relevant marketing and business leaders
Collaborate with internal teams to create landing pages and optimize the user experience
Utilize the strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touchpoints

Experience Requirement: 
Excellent understanding of digital marketing concepts and industry best practices
Proven working experience in digital marketing
Experience with Google Ads, Email Campaigns, and SEO/ SEM & Social Media Ads
Knowledge of web analytics tools
Experience in the implementation of data and analytics strategies
Adept at writing skills, to effectively communicate the company’s brand message
",31 Oct 2024,1
3,EXL,EXL/M/1191548,Services,Gurgaon,Manager,"Basic Section:
Number Of Positions
1
Band
C1
Band Name
Manager
Cost Code
D003152
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
1500000.0000 - 2400000.0000
Complexity Level
Not Applicable
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Analytics
Sub Group
Banking & Financial Services
Organization
Services
LOB
Banking & Financial Services
SBU
Analytics
Country
India
City
Gurgaon
Center
Gurgaon-SEZ BPO Solutions

Skills:
Skill
PYTHON
SQL
TABLEAU
MACHINE LEARNING
PYSPARK
Minimum Qualification
BACHELOR
Certification
No data available

Job Description:
Job Description
Role and Responsibilities:
• Emphasis is on end-to-end delivery of analysis
• Extremely comfortable working with data, including managing large number of data sources, analyzing data quality, and pro-actively working with client’s data/ IT teams to resolve issues
Hands on experience on Machine Learning algorithms such as Logistic Regression, Random Forest, XG Boost
• Use variety of analytical tools (Python, SQL, PySpark etc.) to carry out analysis and drive conclusions
• Reformulate highly technical information into concise, understandable terms for presentations
Candidate Profile:
• Required skills: Python, SQL, Hive,PySpark, Hadoop, Tableau
• 4- 6 years of consulting, analytics delivery experience
• Experience in Banking and Financial Services domain is preferred.
• Master’s or Bachelor's degree in math, statistics, economics, computer engineering or related analytics field
• Very strong analytical skills with the demonstrated ability to research and make decisions based on the day-to-day and complex customer problems required
• Experience of working in financial services and risk analytics domain, a plus
• Strong record of achievement, solid analytical ability, and an entrepreneurial hands-on approach to work
• Outstanding written and verbal communication skills
Job Location

• 2 days work from Office, 3 days work from home
",31 Oct 2024,1
4,EXL,EXL/M/1191591,Services,Gurgaon,Manager,"Basic Section:
Number Of Positions
1
Band
C1
Band Name
Manager
Cost Code
D003152
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
1500000.0000 - 2400000.0000
Complexity Level
Not Applicable
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Analytics
Sub Group
Banking & Financial Services
Organization
Services
LOB
Banking & Financial Services
SBU
Analytics
Country
India
City
Gurgaon
Center
Gurgaon-SEZ BPO Solutions

Skills:
Skill
PYTHON
SQL
TABLEAU
MACHINE LEARNING
PYSPARK
Minimum Qualification
BACHELOR
Certification
No data available

Job Description:
Job Description
Role and Responsibilities:
• Emphasis is on end-to-end delivery of analysis
• Extremely comfortable working with data, including managing large number of data sources, analyzing data quality, and pro-actively working with client’s data/ IT teams to resolve issues
Hands on experience on Machine Learning algorithms such as Logistic Regression, Random Forest, XG Boost
• Use variety of analytical tools (Python, SQL, PySpark etc.) to carry out analysis and drive conclusions
• Reformulate highly technical information into concise, understandable terms for presentations
Candidate Profile:
• Required skills: Python, SQL, Hive,PySpark, Hadoop, Tableau
• 4- 6 years of consulting, analytics delivery experience
• Experience in Banking and Financial Services domain is preferred.
• Master’s or Bachelor's degree in math, statistics, economics, computer engineering or related analytics field
• Very strong analytical skills with the demonstrated ability to research and make decisions based on the day-to-day and complex customer problems required
• Experience of working in financial services and risk analytics domain, a plus
• Strong record of achievement, solid analytical ability, and an entrepreneurial hands-on approach to work
• Outstanding written and verbal communication skills
Job Location

• 2 days work from Office, 3 days work from home
",31 Oct 2024,1
5,EXL,EXL/SE/1189452,FAO,Bangalore,Senior Executive,"Basic Section:
Number Of Positions
1
Band
A2
Band Name
Senior Executive
Cost Code
D000846
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
Backfill
Max CTC
350000.0000 - 450000.0000
Complexity Level
F&A 3 (Complexity Level 3) Bangalore Location Only
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Operations Management
Sub Group
Emerging Business Unit
Organization
FAO
LOB
Back Office
SBU
Operations
Country
India
City
Bangalore
Center
FA - Bengaluru

Skills:
Skill
ACCOUNTS RECEIVABLE
ORAL COMMUNICATION
COMMUNICATION
MS OFFICE
ACCOUNTING
Minimum Qualification
B COM
Certification
No data available

Job Description:
Job Description
  Position Title/Responsibility Level
Senior Associate, Accounts Receivable 
  Function
Finance Operations
  Permanent/ Temporary
Permanent
  Basic Function
  The position is responsible to perform variety of functions related to Cash Application
The job also includes also General Ledger activities to be completed in an accurate and timely manner 
Follow-up with Client for timely receipt of exception resolutions.
Maintain data and records in accordance with Cash Application client policies & principles
Exposure to following areas will be preferred in O2C Process:
Downloading bank statements 
Indexing Documents 
Creating Receipts  
Applying Receipts to Invoices 
  Essential Functions
  To ensure adherence to published procedures, timescales and guidelines for Level 1 & 2.
Resolve Cash Coding exceptions.
To ensure accurate data entry to provide business owners with quality analysis of Cash Application.
Analyze and research all discrepancies/ open items and resolve any queries relating to Cash Application.
Any other essential function that may occur from time to time as directed by the Supervisor to help to identify inefficiencies to the process and assist to drive process improvements activities
Ensure that the assigned targets are met in accordance with SLA and Internal standards
  Performance parameters
  Timeliness & Accuracy
Team objectives
Process improvement 
  Primary Internal Interactions
  AM for the purpose of reporting performance, escalation handling, clarifying concerns, seeking support and monthly evaluation of performance
Manager for the purpose of settling issues left unresolved by the AM
Subject Matter Expert for the purpose of handling process related issues, queries and escalated transactions
QCA for the purpose of associate performance feedback and audit in order to update the training curriculum
  Primary External Interactions
  Client Employees
Escalations at the client end for the purpose of seeking clarifications & answering queries
  Skills
Technical Skills
Good computer navigation skills
Strong PC skills, with knowledge of Microsoft Office, particularly strong in MS Excel & Word are a critical requirement
Exposure to Cash Application Module 
Process Specific Skills
Strong  knowledge of O2C Process 
Accounting principles and Accounts Receivables concepts
Excellent Communication Skills ( Both Written and Oral)
Soft skills (Desired)
Self disciplined and result oriented
Team work/ Managing Self / Adaptability 
Ability to multi task
Data gathering ability/ Eye for detail
Coaching and Feedback
Soft Skills (Minimum)
Good Communication Skills (Both Written and Oral)
Business awareness 
Customer Service Focus
Active listening skills
Presentation and Facilitation Skills
Education Requirements
Graduate in Accounting / Commerce with at least 15 years of education
Work Experience Requirements
Total work experience should be 1 - 3 years in the field of Finance/Accounts preferably in O2C Process
 Other Requirements
  Annexure: 
    Acknowledgement
 (acknowledge that the information contained in this document is factual and complete)
    ___________________________________           ___________________________________________           _____________________
 Candidate                                                                                Supervisor/Manager                                           Date
  
",31 Oct 2024,1
6,EXL,EXL/LAM/1191282,Finance,Noida,Lead Assistant Manager,"Basic Section:
Number Of Positions
2
Band
B2
Band Name
Lead Assistant Manager
Cost Code
D005307
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
Backfill
Max CTC
750000.0000 - 1100000.0000
Complexity Level
Not Applicable
Work Type
Work From Home – Predominantly Working From Home But May Be Required To Work For A Certain No Of Days A Month From Office

Organisational:
Group
Enabling
Sub Group
Finance
Organization
Finance
LOB
Finance
SBU
Finance & Accounts
Country
India
City
Noida
Center
Noida - Centre 59

Skills:
Skill
REINSURANCE AND ACCOUNTING
Minimum Qualification
B.COM
Certification
No data available

Job Description:
Lead Assistant Manager:- 
 4-5 years of experience in the field of Reinsurance operations or accounting
Overall experience of 7-10 Years    
Hands on experience in working with large data
Analytical abilities
Strong MS Excel and communication skills

 Primary Responsibility: 
Handling reinsurance contracts set-up in reinsurance system
Review ceded premium and loss results from the reinsurance system
Manage review of reinsurance payments to the brokers/reinsurers
Review claims billings
Perform accounting transactions, manual journals
Perform GL Reconciliation
Prepare financial and management reporting
Perform Regulatory reporting
Technical Skills: 
Good knowledge of Assumed reinsurance 
Sound analytical skill
MS Excel and other office tools

Knowledge of Genius / URS preferred + Good accounting skills

Primary Internal Interactions
LAM / Manager for the purpose of reporting performance, escalation handling, clarifying concerns, seeking support and monthly evaluation of performance
AVP for the purpose of settling issues left unresolved by the LAM /Manager
Subject Matter Expert for the purpose of handling process related issues, queries and escalated transactions 
QCA for the purpose of associate performance feedback and audit in order to update the training curriculum
 Primary External Interactions
Onshore teams for routine day to day tasks
Auditors for the purpose of getting Audit Requirements & supplying adequate documents
Trainers, SMEs and Operations for the purpose of developing and updating training curriculum, provide feedback on training and discussing specific action plans
Escalations team at client end for the purpose of seeking clarifications & answering queries
",31 Oct 2024,1
7,EXL,EXL/SE/1191324,Finance,Noida,Senior Executive,"Basic Section:
Number Of Positions
1
Band
A2
Band Name
Senior Executive
Cost Code
D005307
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
Backfill
Max CTC
300000.0000 - 550000.0000
Complexity Level
Not Applicable
Work Type
Work From Home – Predominantly Working From Home But May Be Required To Work For A Certain No Of Days A Month From Office

Organisational:
Group
Enabling
Sub Group
Finance
Organization
Finance
LOB
Finance
SBU
Finance & Accounts
Country
India
City
Noida
Center
Noida - Centre 59

Skills:
Skill
REINSURANCE AND ACCOUNTING
REINSURANCE
Minimum Qualification
B.COM
Certification
No data available

Job Description:
•    Primary Responsibility: 
Handling reinsurance contracts set-up in reinsurance system
Review ceded/assumed premium and loss results from the reinsurance system
Manage review of reinsurance payments to the brokers/reinsurers
Review claims billings
Perform accounting transactions, manual journals
Perform GL Reconciliation
Prepare financial and management reporting
Perform Regulatory reporting
Technical Skills: 
Good knowledge of reinsurance 
Sound analytical skill
MS Excel and other office tools
Knowledge of Genius / URS preferred
Education
B.COM
Insurance/Reinsurance certifications preferred
Good accounting skill will be preferred 
  Primary Internal Interactions
LAM / Manager for the purpose of reporting performance, escalation handling, clarifying concerns, seeking support and monthly evaluation of performance
AVP for the purpose of settling issues left unresolved by the LAM /Manager
Subject Matter Expert for the purpose of handling process related issues, queries and escalated transactions 
QCA for the purpose of associate performance feedback and audit in order to update the training curriculum
 Primary External Interactions
Onshore teams for routine day to day tasks
Auditors for the purpose of getting Audit Requirements & supplying adequate documents
Trainers, SMEs and Operations for the purpose of developing and updating training curriculum, provide feedback on training and discussing specific action plans
Escalations team at client end for the purpose of seeking clarifications & answering queries
 2-5 years of experience in the field of Reinsurance operations or accounting
Overall experience of 5-7 Years 
Hands on experience in handling reinsurance processes
Good MS Excel and communication skills
",31 Oct 2024,1
8,EXL,EXL/LAM/1191593,FAO,Bangalore,Lead Assistant Manager,"Basic Section:
Number Of Positions
1
Band
B2
Band Name
Lead Assistant Manager
Cost Code
D012214
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
875000.0000 - 1000000.0000
Complexity Level
F&A 4 (Complexity Level 4) Bangalore Location Only
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Operations Management
Sub Group
Emerging Business Unit
Organization
FAO
LOB
Back Office
SBU
Operations
Country
India
City
Bangalore
Center
FA - Bengaluru

Skills:
Skill
ACCOUNTING
ACCOUNTS RECEIVABLE
COMMUNICATION
EMAIL
EXCELLENT WRITTEN AND VERBAL COMMUNICATION
EXCEL
SERVICENOW
SAP
TEAM HANDLING
CLIENT MANAGEMENT
Minimum Qualification
B.COM
MBA
Certification
No data available

Job Description:
Pricing Decision Template
  Position Title/Name:
LAM
Level / Band:
B2
     

Complexity:
 Back office – F&A 3
Location/ Country:
Bangalore / India
       CEF Score:         _________B1-5____________________________  No. of Expected 
                                                                                                                          FTEs:              _______                  __________________
Vertical /
Domain:            ____F&A – O2C____________________________   Education 
                                                                                                                          / Certification :  B.Com/ M.Com_________________ 
 Shift Hours /
Working Days: ______4:00 PM to 1:00 AM / 5 Days a week__    Passport / Visa 
                                                                                                                           Requirement: Passport __________________
  Job Information: (To be filled by Migrations/Solutions Team Representative)
   FULL-TIME                                        PART-TIME
 40 hrs. 
HOURS PER WEEK (Wherever required)
 Language Preference (If Any): English 
 For US Employees Only
 EXEMPT                              NONEXEMPT
  Skill Set / Job Spec
Key Responsibility Areas including preferred Skills and Experience
Prior experience in all Accounts Receivable functions including Billing, Cash Application, Collections, Dispute Management, Exception handling, Reporting and Month-end deliverables.
Have good understanding of O2C module on ERPs
Interact with customers, requestors, and other stakeholders.
Good understating of accounting concepts
Day to day team & process management experience
Strive to exceed SLA parameters
Acumen for quality and improving timelines
Manage the client disputes, sending billing statements 
Identify training needs, arrange trainings and evaluate post training performance 
Have flair for process improvements and automation opportunities
Good MS Office knowledge
Undertake additional responsibilities and display leadership qualities 
 Competencies: 
Knowledge of the process and systems 
High level of computer proficiency and excellent MIS skills 
Ability to coach and give feedback on an ongoing basis 
Clear written and verbal communication 
High level of Customer Service and Quality Orientation 
Strong Communication and Motivational Skills 
Ability to lead in a continually challenging environment
Effectively plan, prioritize and execute everyday floor operations 
Eligibility Criteria: 
Good communication skills both written and verbal
Should have 4-6 Years of experience 
Should have experience of managing a team of 15 to 20 members
Must carry experience with SAP for Order to Cash processes. 
Should have good experience and understanding of billing process
  
",31 Oct 2024,1
9,EXL,EXL/AM/1186671,Insurance Finance & Accounting,Noida,Assistant Manager,"Basic Section:
Number Of Positions
1
Band
B1
Band Name
Assistant Manager
Cost Code
D004923
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
600000.0000 - 800000.0000
Complexity Level
Back Office (Complexity Level 4)
Work Type
Hybrid – Working Partly From Home And Partly From Office

Organisational:
Group
Insurance
Sub Group
Insurance
Organization
Insurance Finance & Accounting
LOB
Back Office
SBU
Operations
Country
India
City
Noida
Center
Noida - Centre 59

Skills:
Skill
BUSINESS PROCESSES
Minimum Qualification
B.COM
Certification
No data available

Job Description:
Job Description
  Position Title 
Assistant Manager
Lead Assistant Manager
 (Reinsurance)
                               Function, Responsibility Level 
Reinsurance Operations, Assistant Manager
Reinsurance Operations, Lead Assistant Manager
Reports to
Manager – Reinsurance Operations
Sr. Manager – Reinsurance Operations
Location 
Noida, India
  Span of Control 
0
Position Type 
Permanent
   •    Primary Responsibility: 
Prepare financial and management reporting
Perform Regulatory reporting such Schedule P, Schedule F etc
Review ceded premium and loss results from the reinsurance system
Manage review of reinsurance payments to the brokers/reinsurers
Review claims billings
Perform accounting transactions, manual journals
Perform GL Reconciliation
 Technical Skills: 
Good knowledge of ceded reinsurance 
Sound analytical skill
MS Excel and other office tools
Have an understanding of US GAAP
 Education
Bachelor’s degree or Post Graduate in Accounting, MBA (Finance)
Insurance/Reinsurance certifications preferred
   Primary Internal Interactions
LAM / Manager for the purpose of reporting performance, escalation handling, clarifying concerns, seeking support and monthly evaluation of performance
AVP for the purpose of settling issues left unresolved by the LAM /Manager
Subject Matter Expert for the purpose of handling process related issues, queries and escalated transactions 
QCA for the purpose of associate performance feedback and audit in order to update the training curriculum
 Primary External Interactions
Onshore teams for routine day to day tasks
Auditors for the purpose of getting Audit Requirements & supplying adequate documents
Trainers, SMEs and Operations for the purpose of developing and updating training curriculum, provide feedback on training and discussing specific action plans
Will interact extensively with onshore for US GAAP and regulatory reporting
Escalations team at client end for the purpose of seeking clarifications & answering queries
 Education Requirements
 Bachelor’s degree or Post Graduate in Accounting, MBA (Finance), CA
Insurance/Reinsurance certifications preferred
",31 Oct 2024,1
10,EXL,EXL/LAM/1191773,Insurance Property & Casualties,Pune,Lead Assistant Manager,"Basic Section:
Number Of Positions
1
Band
B2
Band Name
Lead Assistant Manager
Cost Code
D010601
Campus/Non Campus
NON CAMPUS
Employment Type
Permanent
Requisition Type
New
Max CTC
1000000.0000 - 1300000.0000
Complexity Level
Back Office (Complexity Level 4)
Work Type
Work From Office – Fully Working From EXL/ Client Offices

Organisational:
Group
Insurance
Sub Group
Insurance
Organization
Insurance Property & Casualties
LOB
Back Office
SBU
Operations
Country
India
City
Pune
Center
IN Pune C4

Skills:
Skill
ANALYTICAL THINKING
CONFLICT MANAGEMEN
FEEDBACK MANAGEMENT
LONDON MARKET INSURANCE
INNOVATION
DECISION MAKING
PROBLEM SOLVING
PEOPELE MANAGEMENT
STRAIGHT THROUGH PROCESSING
Minimum Qualification
GRADUATE
Certification
No data available

Job Description:
Manage team and ensure quality and productivity targets are met
Preferred knowledge of the UK insurance industry
Monitor transactions on an ongoing basis and take corrective steps where necessary or make incremental improvements
Provide coaching and feedback to team members to enable them to improve their performance. 
Assist new hires such that they are productive on the floor in the shortest possible time frame
Provide inputs on process and system to the team members.
Client Interaction, where required at the level of Supervisors
Ensure compliance with internal policies and procedures, external regulations and information security standards.
Collect and provide data required for various audits like ISO/COPC etc.
Ensure that all agents in their process know their goals and how they are linked to the Organization’s quality policy
Effectively manage queue and balancing of work load
Focus on Innovation
Handle escalations
",31 Oct 2024,1
