S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,IBM,REQ21170591,Infrastructure & Technology,Bangalore,POWER Coherency Architect,"Introduction As a Hardware Developer at IBM, you’ll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite team of engineering professionals who enable IBM customers to make better decisions quicker on the most trusted hardware platform in today’s market. Your Role and Responsibilities Lead the Architecture, Design and development of PCIe controller and integration into high-performance IBM mainframe and Power processors. Develop the features, present the proposed architecture in the High level design discussions Develop micro-architecture, Design RTL, Collaborate with the Verification, DFT, Physical design, FW, SW teams to develop the feature Required Technical and Professional Expertise • 18 plus years of relevant experience • Experience with PCIe controller architecture/ microarchitecture/ RTL design – PCIe Gen 5/ Gen 6 and CXL2.0/3.0 • Good understanding of PCIe PHY • Experience with integration of PCIe controller in high speed infrastructure • Proficient in HDLs- VHDL must/ Verilog • Experience in working with architecture/ FW/ SW teams • Experience in High speed and Power efficient logic design • Experience in working with verification, validation, physical design teams for design closure including test plan reviews and verification coverage • Good understanding of Physical Design and able to collaborate with physical design team for floorplanning, placement of blocks for achieving high-performance design • Experience in leading uarch, RTL design teams for feature enhancements. Being a lead, ability – to quickly understand issues spanning multiple functional domains, switch context frequently, and provide solutions to problems, is necessary. Preferred Technical and Professional Expertise • Hardware development, Processor Backend Design",2024-11-02,1
2,IBM,REQ21105458,Infrastructure & Technology,Bangalore,POWER Coherency Architect,"Introduction As a Hardware Developer at IBM, you’ll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite team of engineering professionals who enable IBM customers to make better decisions quicker on the most trusted hardware platform in today’s market. Your Role and Responsibilities Lead the Architecture, Design and development of PCIe controller and integration into high-performance IBM mainframe and Power processors. Develop the features, present the proposed architecture in the High level design discussions Develop micro-architecture, Design RTL, Collaborate with the Verification, DFT, Physical design, FW, SW teams to develop the feature Required Technical and Professional Expertise • 18 plus years of relevant experience • Experience with PCIe controller architecture/ microarchitecture/ RTL design – PCIe Gen 5/ Gen 6 and CXL2.0/3.0 • Good understanding of PCIe PHY • Experience with integration of PCIe controller in high speed infrastructure • Proficient in HDLs- VHDL must/ Verilog • Experience in working with architecture/ FW/ SW teams • Experience in High speed and Power efficient logic design • Experience in working with verification, validation, physical design teams for design closure including test plan reviews and verification coverage • Good understanding of Physical Design and able to collaborate with physical design team for floorplanning, placement of blocks for achieving high-performance design • Experience in leading uarch, RTL design teams for feature enhancements. Being a lead, ability – to quickly understand issues spanning multiple functional domains, switch context frequently, and provide solutions to problems, is necessary. Preferred Technical and Professional Expertise • Hardware development, Processor Backend Design",2024-11-02,1
3,IBM,REQ21218058,Infrastructure & Technology,Bangalore,Devops Developer,"Introduction As a Hardware Developer at IBM, you’ll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite team of engineering professionals who enable IBM customers to make better decisions quicker on the most trusted hardware platform in today’s market. Your Role and Responsibilities • Chip Design DevOps Developer in the Infrastructure Chip Development Org in Bangalore. • Join a dynamic, global team dedicated to development and delivery of Infrastructure ASICs and Processor Chips in support of our enterprise-scale, multi-year roadmap. As part of an elite group of engineering professionals, you’ll help clients make faster, more informed decisions built on the industry’s most trusted hardware platforms. Job Duties: • Develop and maintain continuous integration (CI) and continuous deployment (CD) pipelines to automate repetitive tasks and processes to enhance efficiency. This includes management of tools like Jenkins, Tekton, Travis CI, and GitHub. • Create and manage infrastructure using code through tools like Ansible while ensuring infrastructure is scalable, reliable, and secure. • Providing user support to a global team of over 1,000 engineers. • Set up monitoring and logging systems to track application performance and system help using tools like Prometheus or Grafana. • Implement security best practices in both code and infrastructure. • Document processes, configurations, and procedures for future reference. • Diagnose and resolve issues related to deployments, infrastructure, or application performance. • Stay updated with the latest industry trends, tools, and best practices. • Continuously seek ways to improve development and deployment processes that add strategic value to IBM’s Chip Development programs. Required Technical and Professional Expertise • 3 – 8 years of relevant industry experience • Strong problem-solving abilities and proactive approach to identify and address issues • Good communication skills in a global team development environment • Demonstrated experience in software or hardware development flow and automation tooling • Strong scripting skills in Python, Bash / Shell, GNU make • Proficiency with version control systems like Git • Eagerness to learn, demonstrating a growth mindset Preferred Technical and Professional Expertise • 3+ years of DevOps experience or microprocessor design • Ability to work independently and with remote colleagues • Experience with Continuous Integration (CI) tools such as Jenkins, Travis CI, or Tekton • Proficiency with GitHub • Exposure to EDA tools • Experience with database systems and database management tools SQLite, MongoDB • Knowledge of Infrastructure as Code and configuration management tools like Ansible • Skills in containerization technologies such as Docker, Podman • Familiarity with monitoring and logging tools like Prometheus and Grafana • Interest in Machine Learning / AI",2024-11-02,1
4,IBM,REQ21038036,Software Engineering,Multiple Cities,Research Intern AI,"Introduction At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk Your Role and Responsibilities Summer Internship Program is one of the major activities under the University Relation Program. IBM Research India offers Summer Internship to the bright students of leading technical Universities in India. IBM Research India provides industry experience and world class technologies to these students to show their talent. During internship students work on current projects happening in the lab, they solve problems with the help of their mentors. Idea is to give industry experience to the students and look for future employees. • Growth Path • Can be converted to regular hire based on performance • Skills required • Excellent coding skills in Java/Python (including pandas, NumPy), Data Structures, Algorithms, Problem Solving, linear algebra, probability, statistics, Experience with VS Code, Jupyter notebooks,Git • AI/ML fundamentals (supervised and unsupervised learning, classification, regression, neural networks, clustering etc), Learning fundamentals, Data Manipulation and Analysis for large data, AI libraries/frameworks such as TensorFlow/PyTorch, Deep Larning, Foundation Models, Large Language Models, Experience of working with platforms such as Watsonx.ai or similar Required Technical and Professional Expertise • Excellent coding skills in Java/Python, Data Structures, Algorithms, Problem Solving, AI/ML fundamentals (supervised and unsupervised learning, classification, regression, neural networks, clustering etc) Preferred Technical and Professional Expertise • AI libraries/frameworks such as TensorFlow/PyTorch, Jupyter notebooks, Deep learning fundamentals, Data Manipulation and Analysis for large data, tools (pandas, NumPy), linear algebra, probability, statistics, Git, Containerization (Docker/Kubernetes/ Openshift)",2024-11-02,1
5,IBM,REQ21038034,Software Engineering,Multiple Cities,Research Intern Security,"Introduction At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk Your Role and Responsibilities Summer Internship Program is one of the major activities under the University Relation Program. IBM Research India offers Summer Internship to the bright students of leading technical Universities in India. IBM Research India provides industry experience and world class technologies to these students to show their talent. During internship students work on current projects happening in the lab, they solve problems with the help of their mentors. Idea is to give industry experience to the students and look for future employees. • Growth Path • Can be converted to regular hire based on performance • Skills required • Excellent coding skills in Java/Python (including pandas, NumPy), Data Structures, Algorithms, Problem Solving, linear algebra, probability, statistics, Experience with VS Code, Jupyter notebooks,Git • Discrete mathematics, Cryptography: encryption, decryption, key management, and cryptographic algorithms (e.g., AES, RSA, ECC). Basic knowledge of OS and Network Security. Required Technical and Professional Expertise • Excellent coding skills in Java/Python, Data Structures, Algorithms, Problem Solving, AI/ML fundamentals (supervised and unsupervised learning, classification, regression, neural networks, clustering etc) Preferred Technical and Professional Expertise • AI libraries/frameworks such as TensorFlow/PyTorch, Jupyter notebooks, Deep learning fundamentals, Data Manipulation and Analysis for large data, tools (pandas, NumPy), linear algebra, probability, statistics, Git, Containerization (Docker/Kubernetes/ Openshift)",2024-11-02,1
6,IBM,REQ21038035,Software Engineering,Multiple Cities,Research Intern Hybrid Cloud,"Introduction At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk Your Role and Responsibilities Summer Internship Program is one of the major activities under the University Relation Program. IBM Research India offers Summer Internship to the bright students of leading technical Universities in India. IBM Research India provides industry experience and world class technologies to these students to show their talent. During internship students work on current projects happening in the lab, they solve problems with the help of their mentors. Idea is to give industry experience to the students and look for future employees. • Growth Path • Can be converted to regular hire based on performance • Skills required • Excellent coding skills in Java/Python (including pandas, NumPy), Data Structures, Algorithms, Problem Solving, linear algebra, probability, statistics, Experience with VS Code, Jupyter notebooks,Git • Cloud platforms and frameworks (AWS/Azure/IBM/Google), Containerization (Docker/Kubernetes/Openshift), Virtualization (VMware, Hyper-V), Networking, Security, Scripting, Monitoring and Logging, AI/ML fundamentals Required Technical and Professional Expertise • Excellent coding skills in Java/Python, Data Structures, Algorithms, Problem Solving, AI/ML fundamentals (supervised and unsupervised learning, classification, regression, neural networks, clustering etc) Preferred Technical and Professional Expertise • AI libraries/frameworks such as TensorFlow/PyTorch, Jupyter notebooks, Deep learning fundamentals, Data Manipulation and Analysis for large data, tools (pandas, NumPy), linear algebra, probability, statistics, Git, Containerization (Docker/Kubernetes/ Openshift)",2024-11-02,1
7,IBM,REQ21038037,Software Engineering,Multiple Cities,Research Intern Quantum,"Introduction At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk Your Role and Responsibilities Summer Internship Program is one of the major activities under the University Relation Program. IBM Research India offers Summer Internship to the bright students of leading technical Universities in India. IBM Research India provides industry experience and world class technologies to these students to show their talent. During internship students work on current projects happening in the lab, they solve problems with the help of their mentors. Idea is to give industry experience to the students and look for future employees. • Growth Path • Can be converted to regular hire based on performance • Skills required • Excellent coding skills in Java/Python (including pandas, NumPy), Data Structures, Algorithms, Problem Solving, linear algebra, probability, statistics, Experience with VS Code, Jupyter notebooks,Git • Quantum Circuits, Quantum Simulators, Quantum Algorithms, Quantum Mechanic, Complex Analysis, Security fundamentals Required Technical and Professional Expertise • Excellent coding skills in Java/Python, Data Structures, Algorithms, Problem Solving, AI/ML fundamentals (supervised and unsupervised learning, classification, regression, neural networks, clustering etc) Preferred Technical and Professional Expertise • AI libraries/frameworks such as TensorFlow/PyTorch, Jupyter notebooks, Deep learning fundamentals, Data Manipulation and Analysis for large data, tools (pandas, NumPy), linear algebra, probability, statistics, Git, Containerization (Docker/Kubernetes/ Openshift)",2024-11-02,1
8,IBM,REQ21214063,Consulting,Bangalore,Package Consultant: Oracle ERP Cloud Financials,"Introduction In this role, you’ll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world.​ Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients’ business environment and achieve business results.Your Role and Responsibilities • Develop partnerships with key stake holders in HR to understand the strategic direction, business process, and business needs • Should be well versed with AGILE / Scrum / Devops. • Create technical solutions to meet business requirements • Help Finance business users adopt best practices • Excellent Verbal & written communication skills. • Define user information requirements in Oracle E-Business Suite • Implement plans to test business and functional processes • Manage Test Scripts that support Oracle R12 financial applications • Lead technical acceptance testing (Unit, SIT, and QAT) of patches and upgrades • Deliver training content to users. • Candidate must be ready to work from office daily and in shifts if required. NO Work From Home allowed. Required Technical and Professional Expertise • Minimum of 5+ years of relevant experience in Oracle Cloud Applications. • Excellent (2-3 projects) implementation experience in cloud/fusion and 2/3 implementations in 12.2.9, Overall 8+ years of relevant experience in Oracle R12. 2.9 and fusion release 13. • Reasonable exposure on P2P modules like iproc/PO/AP/FA/ebiz Tax/India localization/GL. • Both Oracle R12. 2.9 and cloud Applications experience is must • Oracle Projects exposure is added advantageSub ledger Accounting (SLA) knowledge. Preferred Technical and Professional Expertise • Oracle PLSQL. • DBA / Technical Skills. • Performance Tuning.",2024-11-02,1
9,IBM,REQ21214060,Infrastructure & Technology,Bangalore,Cloud developer_Serverless platform,"Introduction A career in IBM means you’ll be part of a team that transforms our customers challenges into solutions. Seeking new possibilities and always staying curious, we are a team dedicated to creating the world’s leading AI-powered, cloud-native software solutions for our customers. Our renowned legacy creates endless global opportunities for our IBMers, so the door is always open for those who want to grow their career. We are seeking a skilled back-end developer to join our IBM development team. As part of our team, you will be responsible for developing and maintaining high-quality software products, working with a variety of technologies and programming languages.Your Role and ResponsibilitiesIBM Cloud Code Engine is IBM’s fully managed, serverless platform on IBM Cloud that runs your containerized workloads, including web apps, microservices, event-driven functions, and batch jobs with run-to-completion characteristics. The Code Engine experience is designed so that you can focus on writing code and not on the infrastructure that is needed to host it. We’re evolving quickly, and you will have the opportunity to influence and be part of that evolution. As a cloud native developer on IBM Cloud you’ll be at the heart of implementing the next wave of IBM Cloud Serverless capabilities with the opportunity to work with and contribute to open source projects such as Kubernetes, Knative, Istio, Shipwright and more. • Work on every facet of the service — from the earliest stage of product architecture, design and development to deployment, troubleshooting, and performance analysis – to ensure a reliable quality product. • Implement production ready features and experiences for IBM Cloud Platform. • Work in an agile environment, developing software components in a continuous delivery fashion. • Embrace and promote agile development best practices including pair programming, test driven development and automation of daily routine in test, deployment and production. • Operate the Cloud service you develop in collaboration with internal and external clients (DevOps). • Participate in periodic on-call rotation in the India timezone as part of a global 7×24 environment The local team works within a worldwide development team. Strong communication and teaming skills are mandatory. Working with customer on their requirements, feedback or issues is important for our product. Experience or a desire to work with customers is therefore a plus. Required Technical and Professional Expertise • Software Development architecture & design • 5-7+ years in Go, Node.js or Python development • 5-7+ years CI/CD Automation tooling, such as Concourse, Jenkins, Travis, Ansible, Tekton etc. • 5-7+ years Agile development methods • Solid Linux networking skill Preferred Technical and Professional Expertise • Linux / Software defined networking skills in large environments: e.g. Calico, CNI • IaaS, PaaS and Containerization: e.g. Kubernetes, OpenShift • Service Mesh: e.g. Istio • Cloud native development: e.g. Knative, Operator Framework",2024-11-02,1
10,IBM,REQ21214059,Software Engineering,Bangalore,Cloud Platform Developer,"Introduction At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk. Your Role and Responsibilities The shift toward the consumption of IT as a service, i.e., the cloud, is one of the most important changes to happen to our industry in decades. At IBM, we are driven to shift our technology to an as-a-service model and to help our clients transform themselves to take full advantage of the cloud. With industry leadership in analytics, security, commerce, and cognitive computing and with unmatched hardware and software design and industrial research capabilities, no other company is as well positioned to address the full opportunity of cloud computing. We’re looking for experienced cloud software engineers to join our development team in India, Bangalore. We seek individuals who innovate & share our passion for winning in the cloud marketplace. You will be part of a strong, agile, and culture-driven engineering team responsible for enabling IBM Cloud to move quickly. We are running IBM’s next generation cloud platform to deliver performance and predictability for our customers’ most demanding workloads, at global scale and with leadership efficiency, resiliency and security. It is an exciting time, and as a team we are driven by this incredible opportunity to thrill our clients. Responsibilities • Design and develop innovative, company and industry impacting services using open source and commercial technologies at scale • Designing and architecting enterprise solutions to complex problems • Presenting technical solutions and designs to engineering team • Adhere to compliance requirements and secure engineering best practices • Collaboration and review of technical designs with architecture and offering management • Taking ownership and keen involvement in projects that vary in size and scope depending on requirements • Writing and executing unit, functional, and integration test cases Required Technical and Professional Expertise • Demonstrated analytical skills and data structures/algorithms fundamentals • Demonstrated verbal and written communications skills • Demonstrated skills with troubleshooting, debugging, maintaining and improving existing software • 4+ years overall experience in Development or Engineering experience. • 2+ years of experience on Cloud architecture and developing Cloud native applications on Cloud • 3+ years of experience with Golang or related programming language • 3+ years of Experience developing REST API using Golang and and/or Python • 3+ Experience with RESTful API design, Micro-services, ORM concepts, • 2+ years of Experience with Docker and Kubernetes • Experience working with any version control system (Git preferred) Preferred Technical and Professional Expertise • Experience with Message Queues (Kafka and RabbitMQ Preferred) • Experience with Relational Databases (Postgres preferred) • Experience with Redis Caching • Experience with HTML and Javascript • Experience developing test automation • Experience with CI/CD pipelines • Experience with Infrastructure as Code (Terraform, Ansible) • Experience with Cloud services and management, with an emphasis on deploying and scaling applications in a cloud environment",2024-11-02,1
