S.No.,Company,Job ID,Function,Location,Title,Description,Posted On
1,SBI,17092,"Area Sales, POS & CBSF",Kolkata,Deputy Manager,"Seeking a dynamic and result oriented Area Sales Manager - Guwahati Location to lead for Open market Credit Card Sales Team. The ideal candidate will be responsible for driving sales, developing and implementing business initiative, and managing a team 0f 50-60 representative within the assign market",10/30/2024
2,SBI,17838,"Area Sales, Telecalling",Mumbai,Deputy Manager,"Opening for Dy Manager - Area Sales (D2C Telecalling) Mumbai

Opening for Dy Manager-Area Sales in Telecalling channel for Credit Card business in Mumbai. 5-7 years’ experience in retail sales with the background of handling the team size of 90-100 people in dialer and Telecalling environment is required.",10/30/2024
3,SBI,17028,Data Privacy Officer,Gurugram,Vice President,"Responsible for ensuring that organization processes the personal data of its staff, customers, providers or any other individuals (also referred to as data subjects) in compliance with the applicable data protection rules. The role is also responsible for acting as the main point of contact between the company, data subjects and the relevant data protection authorities.",10/29/2024
4,SBI,17829,"Finance, FP&A",Gurugram,Senior Manager,"This role is responsible for Budgetary Controls, Opex Planning Analytics by tracking various cost metrics across organization, performing analysis of cost KPIs with the aim of ensuring cost controls",10/29/2024
5,SBI,17831,Merchant Reversal,Gurugram,Assistant Manager,"To comprehensively and diligently review/monitor high severity fraud alerts along with liasoning with stakeholders for higher throughput, increased fraud mitigation and merchant reversals.",10/29/2024
6,SBI,17835,Hunter (FAT),Gurugram,Senior Executive,Identify and prevent application fraud for processing of SBI Card applications within the process SLA and TAT requirements in line with company policy.,10/29/2024
7,SBI,17842,"Agency Management, Recoveries West",Mumbai,Assistant Manager,"Drive Portfolio of Credit Card Recovery on field .  According to targets allocated to multiple agencies for their respective location.
 
Compliance: Ensure proper documentation of customer interaction& raise alarms appropriately as per compliance procedures.
Ensure data security.
Conduct SVCL - Ensuring timely audit of vendor processes & documents for multiple agencies in respective location.",10/29/2024
8,SBI,17844,Screening (EDD),Gurugram,Executive,Executive - Screening,10/29/2024
9,SBI,17822,"Area Sales, POS & CBSF",Secunderabad,Assistant Manager,Asst manager area sales,10/28/2024
10,SBI,17833,SWAT Support,Gurugram,Assistant Manager,"Job Summary:
We are seeking an experienced AM to lead our efforts in enhancing customer satisfactions score at the enterprise level. The candidate will be responsible for implementing strategies to improve customer satisfaction scores, analyzing qualitative /quantitative feedback and driving the actions plan to enhance customer experience.",10/28/2024
11,SBI,17836,Testing & Monitoring,Gurugram,Deputy Manager,Testing and Monitoring of Credit Risk & Collection policies for system implementation.,10/28/2024
12,SBI,17837,Zonal Corporate Sales (South),Secunderabad,Assistant Vice President,"This is a Sales position and is responsible for leading a team of high caliber professionals responsible for Acquiring new clients and Business Development focusing on existing clients, through Corporate Card Solutioning. The role entails management of team and clients relationships in North & East zone focusing on T&E segment. This role requires both operational and strategic leadership skills.",10/28/2024
13,SBI,17201,"Area Sales, POS & CBSF",India,Manager,"Handle a large NFTE’s team size between 60-100 at different hirarchy

Delivering on volumes (Accounts) against MOU within defined COA

Premium Accounts for increasing high fees income and  profitable customer base

 Establish excellent business relationships and partnerships with key Co-Brand partners and other vital corporate partners

Monitoring performance as per MOU and ensure achievement of Op plan

Tracking Application journey from sourcing to dispatch till decisioning

Keeping a tap on all policy changes, Keeping communication flow of changes to team deep down for smoother implementation

Location sourcing mix to be treated as per organizational requirement time to time

Ensuring quality and compliance go hand in hand in sink with existing policies.",10/25/2024
14,SBI,17250,Outsourced Site & Infrastructure Management,Gurugram,Assistant Manager,"Coordination with our Business partners - PSAs and Sales team to ensure smooth functioning at the sites as per our business requirements
Site should be compliant, and all regulatory requirements should be fulfilled
Safety arrangement in the site 
Asset Management - Physical verification
Optimization of Cost",10/25/2024
15,SBI,17349,"Customer Services, Non-T1 Service",Chennai,Executive,"""
Would be part of the customer services team handling Inbound calls / outbound from Credit Card holders. Needs to ensure all Customer Services Complaints & Queries are resolved as per the TAT defined. Responsible for achieving the call center targets on a daily basis like AHT, Productivity, Cross sell, retention, First call resolution along with ensuring high quality of service with zero unscheduled leaves/ absenteeism. Would be required to contribute to cross sell targets through inbound as well as outbound channels. Job requires Compliant to Business Policy, processes and procedures. Need to take additional responsibilities & identify process gaps on process improvement and better customer experience

Must have Qualification- Previous experience  of minimum 1.5 + years in a customer handling process (voice process), Graduation from recognized University & Proficiency in Spoken Malayalam""",10/25/2024
16,SBI,17749,"Agency Management, Collection Field North",Chandigarh,Assistant Manager,"Deliver on Resolution, Normalization & Roll Back, Recovery numbers as per assigned target - Timely and 100% allocation of accounts to field vendor - Secure transmission of data to vendors; 100% SVCL Coverage - Timely training and DRA certification of field executives as per regulatory guidelines
Description for Internal Candidates",10/25/2024
17,SBI,17810,"Area Sales, POS & CBSF",Bangalore,Manager,"To generate credit card business through Point of Sale/FOS Channel in open market.
Achieve New Account Volume for the location – Overall, surrogate wise
NFTE Management - Hiring, Training & Grooming of NFTE’s.
Identify & execute on strategies to achieve planned targets
Identify business opportunities’ in Open Market Retail & Point of Sale and build consensus within sales team to execute on them.",10/25/2024
18,SBI,17813,"Agency management, Collection Field South",Secunderabad,Deputy Manager,"The incumbent will be responsible for managing and undertaking collections process for allocated portfolio in the assigned area basis targets set for resolution, normalization and absolute recovery.",10/25/2024
19,SBI,17812,Logistics (Card Personalization & Agency Management),Gurugram,Executive,Handling of overall embossing process with end to end tracking & closure,10/25/2024
20,SBI,17816,Buyer Support,Gurugram,Senior Manager,Senior Manager - Buyer Support,10/25/2024
21,SBI,17825,"Agency management, Collection Field South",Bangalore,Manager,Performance Drive Portfolio Efficiency by resolution/Norm/Roll Back/Recovery on field portfolio according to targets allocated to multiple agencies for their respective location. Timely identification and reporting of Skips/Fraud/RTP/Non-Starters for portfolio segmentation. Ensure ongoing review rhythm with stakeholders to identify opportunity areas. Timely review of vendors performance in respective location.,10/25/2024
22,SBI,17826,"Agency Management, Collection Field South",Bangalore,Assistant Manager,Candidate should handle multi due stage collection with Vendor support.,10/25/2024
23,SBI,17827,"Agency management, Collection Field South",Bangalore,Deputy Manager,Candidate should handle multi due stage collection with Vendor support.,10/25/2024
24,SBI,17624,"Agency Management, Recoveries West",Mumbai,Assistant Manager,"Job Description
Drive Portfolio of Credit Card Recovery on field .  According to targets allocated to multiple agencies for their respective location.
 
Compliance: Ensure proper documentation of customer interaction& raise alarms appropriately as per compliance procedures.
Ensure data security.
Conduct SVCL - Ensuring timely audit of vendor processes & documents for multiple agencies in respective location.",10/24/2024
25,SBI,17819,Insurance & Cross Sell,Kolkata,Senior Manager,"Responsible for delivering planned sales & income from new insurance sales/acquisition through all ""On-field"" distribution channels for Insurance business for the organization which currently includes Life Insurance, General Insurance, Health Insurance & Card Protection Plan (CPP).",10/24/2024
26,SBI,16278,Infrastructure Security SME,Gurugram,Assistant Vice President,"The IT Infrastructure Security Operations SME, under the guidance of IT Security Operation leader serves a critical SME role for the Execution, Implementation and Operations of the IT Infrastructure Security. He is responsible for managing the IT Security posture of Security Devices like WAF, WIPS, TACACS/RADIUS, NAC, NIPS, HIPS etc. Managing the overall IT Infrastructure Security and management of all Security Solution platforms.",10/23/2024
27,SBI,17076,AEGIS Management Manager,Gurugram,Manager,The role is responsible for managing overall activities involving upkeeping of AEGIS workflow in close liaison with the SBIC IT team and to act as one stop solution for all AEGIS related queries whether raised by other verticals/auditors or by auditee units,10/23/2024
28,SBI,17418,Marketing Analytics,Gurugram,Deputy Vice President,"Deputy Vice President, Marketing Analytics",10/23/2024
29,SBI,17558,Fraud Prevention Strategy,Gurugram,Senior Manager,Senior Manager : Fraud Prevention Strategy,10/23/2024
30,SBI,17772,CCRP Validation,Gurugram,Senior Executive,Ensuring accurate revalidation of all complaints and escalations pertaining to call center reported and part of overall inflow. 2. Timely execution & closure of assigned complaints ensuring daily achievement of productivity numbers. 3. Identified issue to be raised to departments/units & ensuring re-validation closure by providing amicable resolution as per the process/policy 4. Follow up on identified issues with call center and ensure correct and timely complaint calibration. 5. Identify and report any process gaps/process improvement ideas for better customer experience.,10/23/2024
