S.No.,Company,Job ID,Function,Location,Title,Description,Posted On,Page Number
1,Syngene,57148,,"Bangalore, India",ASSAY BIOLOGIST,,28 Oct 2024,1
2,Syngene,57007,,"Bangalore, India",Team Leader - Protein Purification,,28 Oct 2024,1
3,Syngene,57935,,"Bangalore, India",Operations support,,28 Oct 2024,1
4,Syngene,57681,,"Bangalore, India",Project Manager - Clinical Development,,28 Oct 2024,1
5,Syngene,57454,,"Bangalore, India",PROJECT MANAGER - Biologics,,28 Oct 2024,1
6,Syngene,57939,,"Bangalore, India",Microbiology Reviewer,,28 Oct 2024,1
7,Syngene,57871,,"Bangalore, India",assay biologist,,28 Oct 2024,1
8,Syngene,57710,,"Bangalore, India",Inventory Lead - Lab Compliance and Operations,,28 Oct 2024,1
9,Syngene,57910,,"Bangalore, India",Shift Maintenance Engineer,,28 Oct 2024,1
10,Syngene,56860,,"Bangalore, India",ASSISTANT MANAGER,,28 Oct 2024,1
11,Syngene,57911,,"Bangalore, India",AQA reviewer,,28 Oct 2024,1
12,Syngene,56915,,"Bangalore, India",Vial/PFS Filling Operator,,26 Oct 2024,1
13,Syngene,57486,,"Bangalore, India",Assay Biologist,,26 Oct 2024,1
14,Syngene,57053,,"Bangalore, India",Molecular Biologist,,26 Oct 2024,1
15,Syngene,57084,,"Bangalore, India",Research Associate,,26 Oct 2024,1
16,Syngene,57611,,"Mangalore, India",EXECUTIVE,,26 Oct 2024,1
17,Syngene,57283,,"Bangalore, India",Senior Research Associate,,25 Oct 2024,1
18,Syngene,57130,,"Bangalore, India",Protein Analytical Scientist,,25 Oct 2024,1
19,Syngene,57750,,"Bangalore, India",Cell Line Engineering Scientist,,25 Oct 2024,1
20,Syngene,57629,,"Bangalore, India",Project Design Manager,,25 Oct 2024,1
21,Syngene,58059,,"Bangalore, India",Shift Maintenance Engineer,,25 Oct 2024,1
22,Syngene,58030,,"Bangalore, India",Lead IT Business Partner,,25 Oct 2024,1
23,Syngene,57980,,"Bangalore, India",Warehouse Operation,,25 Oct 2024,1
24,Syngene,57455,,"Bangalore, India",PROJECT MANAGER,,24 Oct 2024,1
25,Syngene,57017,,"Bangalore, India",Medical Monitor,,24 Oct 2024,1
26,Syngene,57148,,"Bangalore, India",ASSAY BIOLOGIST,,28 Oct 2024,2
27,Syngene,57007,,"Bangalore, India",Team Leader - Protein Purification,,28 Oct 2024,2
28,Syngene,57935,,"Bangalore, India",Operations support,,28 Oct 2024,2
29,Syngene,57681,,"Bangalore, India",Project Manager - Clinical Development,,28 Oct 2024,2
30,Syngene,57454,,"Bangalore, India",PROJECT MANAGER - Biologics,,28 Oct 2024,2
31,Syngene,57939,,"Bangalore, India",Microbiology Reviewer,,28 Oct 2024,2
32,Syngene,57871,,"Bangalore, India",assay biologist,,28 Oct 2024,2
33,Syngene,57710,,"Bangalore, India",Inventory Lead - Lab Compliance and Operations,,28 Oct 2024,2
34,Syngene,57910,,"Bangalore, India",Shift Maintenance Engineer,,28 Oct 2024,2
35,Syngene,56860,,"Bangalore, India",ASSISTANT MANAGER,,28 Oct 2024,2
36,Syngene,57911,,"Bangalore, India",AQA reviewer,,28 Oct 2024,2
37,Syngene,56915,,"Bangalore, India",Vial/PFS Filling Operator,,26 Oct 2024,2
38,Syngene,57486,,"Bangalore, India",Assay Biologist,,26 Oct 2024,2
39,Syngene,57053,,"Bangalore, India",Molecular Biologist,,26 Oct 2024,2
40,Syngene,57084,,"Bangalore, India",Research Associate,,26 Oct 2024,2
41,Syngene,57611,,"Mangalore, India",EXECUTIVE,,26 Oct 2024,2
42,Syngene,57283,,"Bangalore, India",Senior Research Associate,,25 Oct 2024,2
43,Syngene,57130,,"Bangalore, India",Protein Analytical Scientist,,25 Oct 2024,2
44,Syngene,57750,,"Bangalore, India",Cell Line Engineering Scientist,,25 Oct 2024,2
45,Syngene,57629,,"Bangalore, India",Project Design Manager,,25 Oct 2024,2
46,Syngene,58059,,"Bangalore, India",Shift Maintenance Engineer,,25 Oct 2024,2
47,Syngene,58030,,"Bangalore, India",Lead IT Business Partner,,25 Oct 2024,2
48,Syngene,57980,,"Bangalore, India",Warehouse Operation,,25 Oct 2024,2
49,Syngene,57455,,"Bangalore, India",PROJECT MANAGER,,24 Oct 2024,2
50,Syngene,57017,,"Bangalore, India",Medical Monitor,,24 Oct 2024,2
51,Syngene,57148,,"Bangalore, India",ASSAY BIOLOGIST,,28 Oct 2024,3
52,Syngene,57007,,"Bangalore, India",Team Leader - Protein Purification,,28 Oct 2024,3
53,Syngene,57935,,"Bangalore, India",Operations support,,28 Oct 2024,3
54,Syngene,57681,,"Bangalore, India",Project Manager - Clinical Development,,28 Oct 2024,3
55,Syngene,57454,,"Bangalore, India",PROJECT MANAGER - Biologics,,28 Oct 2024,3
56,Syngene,57939,,"Bangalore, India",Microbiology Reviewer,,28 Oct 2024,3
57,Syngene,57871,,"Bangalore, India",assay biologist,,28 Oct 2024,3
58,Syngene,57710,,"Bangalore, India",Inventory Lead - Lab Compliance and Operations,,28 Oct 2024,3
59,Syngene,57910,,"Bangalore, India",Shift Maintenance Engineer,,28 Oct 2024,3
60,Syngene,56860,,"Bangalore, India",ASSISTANT MANAGER,,28 Oct 2024,3
61,Syngene,57911,,"Bangalore, India",AQA reviewer,,28 Oct 2024,3
62,Syngene,56915,,"Bangalore, India",Vial/PFS Filling Operator,,26 Oct 2024,3
63,Syngene,57486,,"Bangalore, India",Assay Biologist,,26 Oct 2024,3
64,Syngene,57053,,"Bangalore, India",Molecular Biologist,,26 Oct 2024,3
65,Syngene,57084,,"Bangalore, India",Research Associate,,26 Oct 2024,3
66,Syngene,57611,,"Mangalore, India",EXECUTIVE,,26 Oct 2024,3
67,Syngene,57283,,"Bangalore, India",Senior Research Associate,,25 Oct 2024,3
68,Syngene,57130,,"Bangalore, India",Protein Analytical Scientist,,25 Oct 2024,3
69,Syngene,57750,,"Bangalore, India",Cell Line Engineering Scientist,,25 Oct 2024,3
70,Syngene,57629,,"Bangalore, India",Project Design Manager,,25 Oct 2024,3
71,Syngene,58059,,"Bangalore, India",Shift Maintenance Engineer,,25 Oct 2024,3
72,Syngene,58030,,"Bangalore, India",Lead IT Business Partner,,25 Oct 2024,3
73,Syngene,57980,,"Bangalore, India",Warehouse Operation,,25 Oct 2024,3
74,Syngene,57455,,"Bangalore, India",PROJECT MANAGER,,24 Oct 2024,3
75,Syngene,57017,,"Bangalore, India",Medical Monitor,,24 Oct 2024,3
76,Syngene,57148,,"Bangalore, India",ASSAY BIOLOGIST,,28 Oct 2024,4
77,Syngene,57007,,"Bangalore, India",Team Leader - Protein Purification,,28 Oct 2024,4
78,Syngene,57935,,"Bangalore, India",Operations support,,28 Oct 2024,4
79,Syngene,57681,,"Bangalore, India",Project Manager - Clinical Development,,28 Oct 2024,4
80,Syngene,57454,,"Bangalore, India",PROJECT MANAGER - Biologics,,28 Oct 2024,4
81,Syngene,57939,,"Bangalore, India",Microbiology Reviewer,,28 Oct 2024,4
82,Syngene,57871,,"Bangalore, India",assay biologist,,28 Oct 2024,4
83,Syngene,57710,,"Bangalore, India",Inventory Lead - Lab Compliance and Operations,,28 Oct 2024,4
84,Syngene,57910,,"Bangalore, India",Shift Maintenance Engineer,,28 Oct 2024,4
85,Syngene,56860,,"Bangalore, India",ASSISTANT MANAGER,,28 Oct 2024,4
86,Syngene,57911,,"Bangalore, India",AQA reviewer,,28 Oct 2024,4
87,Syngene,56915,,"Bangalore, India",Vial/PFS Filling Operator,,26 Oct 2024,4
88,Syngene,57486,,"Bangalore, India",Assay Biologist,,26 Oct 2024,4
89,Syngene,57053,,"Bangalore, India",Molecular Biologist,,26 Oct 2024,4
90,Syngene,57084,,"Bangalore, India",Research Associate,,26 Oct 2024,4
91,Syngene,57611,,"Mangalore, India",EXECUTIVE,,26 Oct 2024,4
92,Syngene,57283,,"Bangalore, India",Senior Research Associate,,25 Oct 2024,4
93,Syngene,57130,,"Bangalore, India",Protein Analytical Scientist,,25 Oct 2024,4
94,Syngene,57750,,"Bangalore, India",Cell Line Engineering Scientist,,25 Oct 2024,4
95,Syngene,57629,,"Bangalore, India",Project Design Manager,,25 Oct 2024,4
96,Syngene,58059,,"Bangalore, India",Shift Maintenance Engineer,,25 Oct 2024,4
97,Syngene,58030,,"Bangalore, India",Lead IT Business Partner,,25 Oct 2024,4
98,Syngene,57980,,"Bangalore, India",Warehouse Operation,,25 Oct 2024,4
99,Syngene,57455,,"Bangalore, India",PROJECT MANAGER,,24 Oct 2024,4
100,Syngene,57017,,"Bangalore, India",Medical Monitor,,24 Oct 2024,4
101,Syngene,57148,,"Bangalore, India",ASSAY BIOLOGIST,,28 Oct 2024,5
102,Syngene,57007,,"Bangalore, India",Team Leader - Protein Purification,,28 Oct 2024,5
103,Syngene,57935,,"Bangalore, India",Operations support,,28 Oct 2024,5
